#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000    5.6912995209e-04    4.1507568562e-01    4.1509018981e-01
   0.2500000    5.7825942031e-04    4.1510790566e-01    4.1512220600e-01
   0.5000000    5.8715946523e-04    4.1516530363e-01    4.1517940293e-01
   0.7500000    5.9612934096e-04    4.1526180461e-01    4.1527570567e-01
   1.0000000    6.0526345783e-04    4.1539360856e-01    4.1540731413e-01
   1.2500000    6.1453198267e-04    4.1555963086e-01    4.1557314366e-01
   1.5000000    6.2392371985e-04    4.1575719580e-01    4.1577051851e-01
   1.7500000    6.3344847783e-04    4.1598352578e-01    4.1599666107e-01
   2.0000000    6.4310327089e-04    4.1623553937e-01    4.1624848986e-01
   2.2500000    6.5290790593e-04    4.1650986119e-01    4.1652262947e-01
   2.5000000    6.6287466026e-04    4.1680297777e-01    4.1681556640e-01
   2.7500000    6.7299016868e-04    4.1711125923e-01    4.1712367072e-01
   3.0000000    6.8325306908e-04    4.1743103175e-01    4.1744326858e-01
   3.2500000    6.9368011487e-04    4.1775884978e-01    4.1777091439e-01
   3.5000000    7.0427764286e-04    4.1809115544e-01    4.1810305022e-01
   3.7500000    7.1503775566e-04    4.1842382630e-01    4.1843555362e-01
   4.0000000    7.2595768045e-04    4.1875544611e-01    4.1876700830e-01
   4.2500000    7.3704368892e-04    4.1908277124e-01    4.1909417059e-01
   4.5000000    7.4830068546e-04    4.1940286319e-01    4.1941410200e-01
   4.7500000    7.5972945328e-04    4.1971930129e-01    4.1973038183e-01
   5.0000000    7.7133011962e-04    4.2001941925e-01    4.2003034377e-01
   5.2500000    7.8310364080e-04    4.2030799231e-01    4.2031876300e-01
   5.5000000    7.9505237066e-04    4.2058203300e-01    4.2059265203e-01
   5.7500000    8.0718046435e-04    4.2084085060e-01    4.2085132004e-01
   6.0000000    8.1949437592e-04    4.2108567548e-01    4.2109599739e-01
   6.2500000    8.3200335557e-04    4.2131522465e-01    4.2132540105e-01
   6.5000000    8.4471683751e-04    4.2152933550e-01    4.2153936836e-01
   6.7500000    8.5764064346e-04    4.2172853947e-01    4.2173843074e-01
   7.0000000    8.7077751926e-04    4.2191267257e-01    4.2192242421e-01
   7.2500000    8.8412835570e-04    4.2208309682e-01    4.2209271083e-01
   7.5000000    8.9769027612e-04    4.2223879819e-01    4.2224827658e-01
   7.7500000    9.1145939135e-04    4.2238045840e-01    4.2238980309e-01
   8.0000000    9.2543873591e-04    4.2251063922e-01    4.2251985199e-01
   8.2500000    9.3963747111e-04    4.2263028417e-01    4.2263936659e-01
   8.5000000    9.5406099147e-04    4.2273812122e-01    4.2274707474e-01
   8.7500000    9.6870862729e-04    4.2283615996e-01    4.2284498604e-01
   9.0000000    9.8358142671e-04    4.2292497800e-01    4.2293367828e-01
   9.2500000    9.9868540616e-04    4.2300580477e-01    4.2301438113e-01
   9.5000000    1.0140249843e-03    4.2307912140e-01    4.2308757592e-01
   9.7500000    1.0295971584e-03    4.2314582912e-01    4.2315416394e-01
  10.0000000    1.0453973710e-03    4.2320658504e-01    4.2321480217e-01
  10.2500000    1.0614312486e-03    4.2326205981e-01    4.2327016108e-01
  10.5000000    1.0777133668e-03    4.2331290599e-01    4.2332089309e-01
