#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000    6.8904794367e-05    1.6418381195e-06    8.6542569839e-15
   0.2500000    7.0263324125e-05    1.6194234316e-06    8.4518778215e-15
   0.5000000    7.1537095300e-05    1.5973029728e-06    8.2430016845e-15
   0.7500000    7.2781655697e-05    1.5754563702e-06    8.1608468416e-15
   1.0000000    7.3536694751e-05    1.5538672099e-06    8.0286078454e-15
   1.2500000    7.4136452309e-05    1.5325258796e-06    7.9002242280e-15
   1.5000000    7.5069223197e-05    1.5114309701e-06    7.7871712751e-15
   1.7500000    7.6195327169e-05    1.4905890235e-06    7.6694253486e-15
   2.0000000    7.7355815343e-05    1.4700121153e-06    7.5567589622e-15
   2.2500000    7.8595946542e-05    1.4497134703e-06    7.4383242401e-15
   2.5000000    7.9777197445e-05    1.4297039664e-06    7.3271609821e-15
   2.7500000    8.0853059346e-05    1.4099915626e-06    7.2246892033e-15
   3.0000000    8.2021109718e-05    1.3905817068e-06    7.1156817296e-15
   3.2500000    8.3304895855e-05    1.3714785045e-06    7.0094510039e-15
   3.5000000    8.4554166674e-05    1.3526843662e-06    6.9071544361e-15
   3.7500000    8.5771598997e-05    1.3341828012e-06    6.8060323843e-15
   4.0000000    8.7062652721e-05    1.3159065667e-06    6.7144834355e-15
   4.2500000    8.8403579205e-05    1.2977487813e-06    6.6179842445e-15
   4.5000000    8.9678690088e-05    1.2796545527e-06    6.5061856703e-15
   4.7500000    9.0883567594e-05    1.2616911096e-06    6.3998568196e-15
   5.0000000    9.2128316787e-05    1.2439499903e-06    6.3046237125e-15
   5.2500000    9.3448482371e-05    1.2263591100e-06    6.2059345966e-15
   5.5000000    9.4780374690e-05    1.2087054021e-06    6.1069853342e-15
   5.7500000    9.6123849548e-05    1.1909756005e-06    6.0153268939e-15
   6.0000000    9.7567543048e-05    1.1736515594e-06    5.9242924450e-15
   6.2500000    9.9155310635e-05    1.1574923315e-06    5.8309795562e-15
   6.5000000    1.0081964097e-04    1.1428661453e-06    5.7403250494e-15
   6.7500000    1.0243801459e-04    1.1292850725e-06    5.6549974312e-15
   7.0000000    1.0395529470e-04    1.1157027222e-06    5.5759690272e-15
   7.2500000    1.0545838956e-04    1.1013901210e-06    5.5034837899e-15
   7.5000000    1.0708579101e-04    1.0865873433e-06    5.4345907098e-15
   7.7500000    1.0887014346e-04    1.0722887501e-06    5.3644454099e-15
   8.0000000    1.1070909864e-04    1.0593086095e-06    5.2896494025e-15
   8.2500000    1.1249248552e-04    1.0474366202e-06    5.2097567219e-15
   8.5000000    1.1422917713e-04    1.0354215909e-06    5.1267693518e-15
   8.7500000    1.1599498644e-04    1.0218098639e-06    5.0432301663e-15
   9.0000000    1.1778879299e-04    1.0059706923e-06    4.9598745179e-15
   9.2500000    1.1954895112e-04    9.8853964630e-07    4.8744133100e-15
   9.5000000    1.2127861541e-04    9.7100627651e-07    4.7846981994e-15
   9.7500000    1.2305518845e-04    9.5479357025e-07    4.6934597098e-15
  10.0000000    1.2495784889e-04    9.4046072878e-07    4.6085358018e-15
  10.2500000    1.2702075258e-04    9.2749539665e-07    4.5398259731e-15
  10.5000000    1.2917655537e-04    9.1475437582e-07    4.4918125901e-15
  10.7500000    1.3126851275e-04    9.0124352200e-07    4.4551255955e-15
  11.0000000    1.3322429168e-04    8.8676353686e-07    4.4127602804e-15
  11.2500000    1.3515365437e-04    8.7202704842e-07    4.3566997434e-15
  11.5000000    1.3719070966e-04    8.5814871292e-07    4.2911945372e-15
  11.7500000    1.3933577971e-04    8.4582026421e-07    4.2227285338e-15
  12.0000000    1.4151139140e-04    8.3476106089e-07    4.1545830142e-15
  12.2500000    1.4369129106e-04    8.2390177290e-07    4.0857459544e-15
  12.5000000    1.4591856113e-04    8.1220822053e-07    4.0100064286e-15
  12.7500000    1.4821282064e-04    7.9950201709e-07    3.9248879244e-15
  13.0000000    1.5050817136e-04    7.8660124715e-07    3.8443619413e-15
  13.2500000    1.5275631490e-04    7.7466542547e-07    3.7913310348e-15
  13.5000000    1.5503302273e-04    7.6429308333e-07    3.7711032457e-15
  13.7500000    1.5740361362e-04    7.5509704012e-07    3.7580189332e-15
  14.0000000    1.5980603388e-04    7.4604756395e-07    3.7160224318e-15
  14.2500000    1.6218636924e-04    7.3624675446e-07    3.6344295835e-15
  14.5000000    1.6457099876e-04    7.2551329459e-07    3.5400662209e-15
  14.7500000    1.6697267048e-04    7.1439600417e-07    3.4707561317e-15
  15.0000000    1.6938108677e-04    7.0372351437e-07    3.4371413072e-15
  15.2500000    1.7182206955e-04    6.9409965073e-07    3.4142402915e-15
  15.5000000    1.7433195145e-04    6.8566628826e-07    3.3716427542e-15
  15.7500000    1.7690812363e-04    6.7815398463e-07    3.3054075857e-15
  16.0000000    1.7953167305e-04    6.7105358232e-07    3.2346520846e-15
  16.2500000    1.8215858861e-04    6.6379107204e-07    3.1729855491e-15
  16.5000000    1.8470087991e-04    6.5590342913e-07    3.1141739987e-15
  16.7500000    1.8721393858e-04    6.4720372725e-07    3.0474587257e-15
  17.0000000    1.8997200586e-04    6.3783662351e-07    2.9784782803e-15
  17.2500000    1.9300942861e-04    6.2814835231e-07    2.9267272532e-15
  17.5000000    1.9588121250e-04    6.1845810903e-07    2.9022505777e-15
  17.7500000    1.9835397514e-04    6.0892570839e-07    2.8911016059e-15
  18.0000000    2.0091146308e-04    5.9960957581e-07    2.8679496302e-15
  18.2500000    2.0407093942e-04    5.9060445235e-07    2.8214319296e-15
