#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000    2.6055979204e-08   -3.9259631979e-06   -3.9256615540e-06
   0.2500000    8.4961008223e-10   -1.5816136399e-04   -1.5816123349e-04
   0.5000000   -2.2887587856e-08   -3.0970097895e-04   -3.0970101474e-04
   0.7500000   -4.8160760247e-08   -4.5664218653e-04   -4.5664238406e-04
   1.0000000   -7.5328420787e-08   -5.9680272656e-04   -5.9680308144e-04
   1.2500000   -1.0377175303e-07   -7.2824988464e-04   -7.2825039254e-04
   1.5000000   -1.3281071681e-07   -8.4928589957e-04   -8.4928655613e-04
   1.7500000   -1.6128334161e-07   -9.5847761158e-04   -9.5847841230e-04
   2.0000000   -1.8844361273e-07   -1.0546806648e-03   -1.0546816050e-03
   2.2500000   -2.1551784251e-07   -1.1370633964e-03   -1.1370644713e-03
   2.5000000   -2.4504674352e-07   -1.2050836264e-03   -1.2050848310e-03
   2.7500000   -2.7788658659e-07   -1.2585542907e-03   -1.2585556202e-03
   3.0000000   -3.1233915146e-07   -1.2975178068e-03   -1.2975192563e-03
   3.2500000   -3.4672841753e-07   -1.3223733726e-03   -1.3223749375e-03
   3.5000000   -3.8104586621e-07   -1.3337150679e-03   -1.3337167440e-03
   3.7500000   -4.1580056736e-07   -1.3324078084e-03   -1.3324095918e-03
   4.0000000   -4.5101100682e-07   -1.3194521695e-03   -1.3194540564e-03
   4.2500000   -4.8649332562e-07   -1.2959443901e-03   -1.2959463767e-03
   4.5000000   -5.2205857982e-07   -1.2633388237e-03   -1.2633409063e-03
   4.7500000   -5.5763604419e-07   -1.2223355823e-03   -1.2223377578e-03
   5.0000000   -5.9355173031e-07   -1.1753725618e-03   -1.1753748269e-03
   5.2500000   -6.3002085850e-07   -1.1232544173e-03   -1.1232567690e-03
   5.5000000   -6.6678239746e-07   -1.0671506506e-03   -1.0671530861e-03
   5.7500000   -7.0363294460e-07   -1.0081674061e-03   -1.0081699220e-03
   6.0000000   -7.4033003883e-07   -9.4760510967e-04   -9.4760770194e-04
   6.2500000   -7.7638880212e-07   -8.8632020812e-04   -8.8632287200e-04
   6.5000000   -8.1150485400e-07   -8.2516840160e-04   -8.2517113163e-04
   6.7500000   -8.4546884525e-07   -7.6484004120e-04   -7.6484283159e-04
   7.0000000   -8.7798110825e-07   -7.0612553460e-04   -7.0612838002e-04
   7.2500000   -9.0876144072e-07   -6.4951703449e-04   -6.4951993108e-04
   7.5000000   -9.3741374288e-07   -5.9544189094e-04   -5.9544483715e-04
   7.7500000   -9.6345238160e-07   -5.4430586938e-04   -5.4430886594e-04
   8.0000000   -9.8668465621e-07   -4.9630346137e-04   -4.9630650986e-04
   8.2500000   -1.0069823916e-06   -4.5160176649e-04   -4.5160486691e-04
   8.5000000   -1.0237596394e-06   -4.1037823828e-04   -4.1038138698e-04
   8.7500000   -1.0363762423e-06   -3.7259625276e-04   -3.7259944221e-04
   9.0000000   -1.0444846665e-06   -3.3820819296e-04   -3.3821141409e-04
   9.2500000   -1.0478120718e-06   -3.0708035870e-04   -3.0708360462e-04
   9.5000000   -1.0462569413e-06   -2.7907272728e-04   -2.7907599612e-04
   9.7500000   -1.0397664214e-06   -2.5400132841e-04   -2.5400462328e-04
  10.0000000   -1.0281138913e-06   -2.3168545500e-04   -2.3168878077e-04
  10.2500000   -1.0111010393e-06   -2.1194030675e-04   -2.1194366571e-04
  10.5000000   -9.8871398663e-07   -1.9459465883e-04   -1.9459804772e-04
  10.7500000   -9.6109638628e-07   -1.7931532174e-04   -1.7931873190e-04
  11.0000000   -9.2856083992e-07   -1.6629335464e-04   -1.6629677473e-04
  11.2500000   -8.9155525465e-07   -1.5530272206e-04   -1.5530614147e-04
  11.5000000   -8.5029335829e-07   -1.4598634958e-04   -1.4598976041e-04
  11.7500000   -8.0515088113e-07   -1.3817452190e-04   -1.3817791883e-04
  12.0000000   -7.5700156977e-07   -1.3190393697e-04   -1.3190731569e-04
  12.2500000   -7.0585075233e-07   -1.2688533877e-04   -1.2688869435e-04
  12.5000000   -6.5199115695e-07   -1.2294348745e-04   -1.2294681336e-04
  12.7500000   -5.9690454159e-07   -1.1986168886e-04   -1.1986497688e-04
  13.0000000   -5.4085007484e-07   -1.1757836093e-04   -1.1758160155e-04
  13.2500000   -4.8417396062e-07   -1.1604693689e-04   -1.1605011992e-04
  13.5000000   -4.2821730800e-07   -1.1492974531e-04   -1.1493286059e-04
  13.7500000   -3.7334892649e-07   -1.1421119129e-04   -1.1421422918e-04
  14.0000000   -3.1991732197e-07   -1.1396907279e-04   -1.1397202436e-04
  14.2500000   -2.6873526836e-07   -1.1378290873e-04   -1.1378576547e-04
  14.5000000   -2.1946614602e-07   -1.1430999958e-04   -1.1431275303e-04
  14.7500000   -1.7122718860e-07   -1.1537107841e-04   -1.1537372011e-04
  15.0000000   -1.2511751176e-07   -1.1652248665e-04   -1.1652500882e-04
  15.2500000   -8.2099560625e-08   -1.1766584566e-04   -1.1766824210e-04
  15.5000000   -4.1361682478e-08   -1.1924096849e-04   -1.1924323496e-04
  15.7500000   -3.3447067399e-09   -1.2101890559e-04   -1.2102103906e-04
  16.0000000    3.1427004440e-08   -1.2272092080e-04   -1.2272291802e-04
  16.2500000    6.3549697929e-08   -1.2521340831e-04   -1.2521526475e-04
  16.5000000    9.3301004332e-08   -1.2683547884e-04   -1.2683718909e-04
  16.7500000    1.2117299250e-07   -1.2713343495e-04   -1.2713499457e-04
  17.0000000    1.4734765344e-07   -1.2863185397e-04   -1.2863326168e-04
  17.2500000    1.7109007535e-07   -1.3010556881e-04   -1.3010682758e-04
  17.5000000    1.9168481827e-07   -1.3158583338e-04   -1.3158694965e-04
  17.7500000    2.0907230857e-07   -1.3317384016e-04   -1.3317482175e-04
  18.0000000    2.2410678872e-07   -1.3475264962e-04   -1.3475350366e-04
  18.2500000    2.3798968547e-07   -1.3634636596e-04   -1.3634709789e-04
  18.5000000    2.5123926703e-07   -1.3802387004e-04   -1.3802448405e-04
  18.7500000    2.6340242850e-07   -1.3970541157e-04   -1.3970591187e-04
  19.0000000    2.7397737001e-07   -1.4134025049e-04   -1.4134064254e-04
  19.2500000    2.8347943799e-07   -1.4281382649e-04   -1.4281411749e-04
  19.5000000    2.9254217177e-07   -1.4421845308e-04   -1.4421865147e-04
  19.7500000    3.0066613033e-07   -1.4525495846e-04   -1.4525507290e-04
  20.0000000    3.0715990087e-07   -1.4637221077e-04   -1.4637224903e-04
  20.2500000    3.1233927778e-07   -1.4737373623e-04   -1.4737370469e-04
  20.5000000    3.1703788752e-07   -1.4830495724e-04   -1.4830486124e-04
