#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    4.1606121528e-21   -7.5240687641e-06   -2.3839221693e-21   -5.3148770772e-07   -1.2857835654e-21   -1.9822386270e-07   -7.1129763080e-22   -8.4673563297e-08   -2.9847583206e-22   -3.9535720587e-08
   0.2500000    6.8038064082e-21   -7.5149153453e-06   -1.1590796921e-21   -5.3076151926e-07   -9.2992517983e-22   -1.9794011049e-07   -3.9121318697e-22   -8.4540249158e-08   -3.8908393284e-22   -3.9472518473e-08
   0.5000000    4.8014420602e-21   -7.5057722259e-06   -6.8949515308e-22   -5.3003599165e-07   -6.2966187808e-22   -1.9765662929e-07   -1.1356684513e-21   -8.4190526846e-08   -2.9588424518e-22   -3.9403038903e-08
   0.7500000    1.3354392121e-20   -7.4966388151e-06   -2.1951870166e-21   -5.2931114256e-07   -5.7617187487e-22   -1.9737348146e-07   -4.8959579175e-22   -8.3881294524e-08   -2.0028841041e-22   -3.9334281035e-08
   1.0000000    5.2038420029e-21   -7.4875144762e-06   -2.7258475587e-21   -5.2858696189e-07   -1.5519976235e-21   -1.9709061531e-07   -8.8010422148e-22   -8.3688970378e-08   -1.3961579711e-22   -3.9290212522e-08
   1.2500000    1.0275284185e-20   -7.4783986311e-06   -2.4115802845e-21   -5.2786346538e-07   -1.0076631180e-21   -1.9680802441e-07   -4.8226890215e-22   -8.3646790819e-08   -1.3930518366e-22   -3.9267044626e-08
   1.5000000    5.6699512779e-21   -7.4692907956e-06   -3.4003143513e-21   -5.2714066026e-07   -3.0250380894e-22   -1.9652573249e-07   -2.9445452494e-22   -8.3660989049e-08   -3.5258502587e-22   -3.9220133680e-08
   1.7500000    6.6447830916e-21   -7.4601906119e-06   -2.7224594788e-21   -5.2641851376e-07   -1.2987406035e-21   -1.9624377280e-07   -4.6416248282e-22   -8.3596108991e-08   -2.9705617695e-22   -3.9118241637e-08
   2.0000000    5.0377887629e-22   -7.4510960897e-06   -3.2399045874e-21   -5.2569702577e-07   -1.1266390608e-21   -1.9596207883e-07   -7.3314547225e-22   -8.3421557011e-08   -2.1685289909e-22   -3.8995654746e-08
   2.2500000    2.2679348648e-21   -7.4420042235e-06   -3.2856937094e-21   -5.2497624862e-07   -1.0959427832e-21   -1.9568065537e-07   -8.2686018720e-22   -8.3247119914e-08   -3.6465736611e-22   -3.8916987981e-08
   2.5000000    2.2676868725e-21   -7.4329173488e-06   -3.6295541137e-21   -5.2425615971e-07   -7.2099171707e-22   -1.9539952947e-07   -8.7564557032e-23   -8.3175841772e-08   -3.3789114310e-22   -3.8895266828e-08
   2.7500000    9.4962531868e-21   -7.4238489924e-06   -3.9272127461e-21   -5.2353674303e-07   -1.0296973325e-21   -1.9511873210e-07   -6.5082117249e-22   -8.3157109788e-08   -2.5439505884e-22   -3.8878909657e-08
