#       time             L^2_Ham             L^2_Mom
   0.0000000    1.2580934300e-02    4.4560447074e-05
   0.5000000    1.2580934300e-02    4.4560447074e-05
   1.0000000    1.0767487340e+03    1.5523664385e+03
   1.5000000                -nan                -nan
   2.0000000    1.4005574597e+03                -nan
   2.5000000                -nan                -nan
   3.0000000    1.8537131176e+03                -nan
   3.5000000                -nan                -nan
   4.0000000   2.3611512182e+130                -nan
   4.5000000    1.7319519484e+03                -nan
   5.0000000    1.6666636169e+03                -nan
   5.5000000    1.6275955473e+03                -nan
   6.0000000                -nan                -nan
   6.5000000                -nan                -nan
   7.0000000                -nan                -nan
   7.5000000                -nan                -nan
   8.0000000                -nan                -nan
   8.5000000                -nan                -nan
   9.0000000                -nan                -nan
   9.5000000                -nan                -nan
  10.0000000                -nan                -nan
  10.5000000                -nan                -nan
  11.0000000                -nan                -nan
  11.5000000                -nan                -nan
  12.0000000                -nan                -nan
  12.5000000                -nan                -nan
  13.0000000                -nan                -nan
  13.5000000                -nan                -nan
  14.0000000                -nan                -nan
  14.5000000                -nan                -nan
  15.0000000                -nan                -nan
  15.5000000                -nan                -nan
  16.0000000                -nan                -nan
  16.5000000                -nan                -nan
  17.0000000                -nan                -nan
  17.5000000                -nan                -nan
  18.0000000                -nan                -nan
  18.5000000                -nan                -nan
  19.0000000                -nan                -nan
  19.5000000                -nan                -nan
  20.0000000                -nan                -nan
  20.5000000                -nan                -nan
  21.0000000                -nan                -nan
  21.5000000                -nan                -nan
  22.0000000                -nan                -nan
  22.5000000                -nan                -nan
  23.0000000                -nan                -nan
  23.5000000                -nan                -nan
  24.0000000                -nan                -nan
  24.5000000                -nan                -nan
  25.0000000                -nan                -nan
  25.5000000                -nan                -nan
  26.0000000    2.0768309009e+02    5.0625467818e+02
  26.5000000    2.6698374552e+02    1.2172471037e+03
  27.0000000    2.7476064459e+02    1.2544233324e+03
  27.5000000    3.4570819042e+02                 inf
  28.0000000    4.5450524206e+02                 inf
  28.5000000    5.1300881967e+02                 inf
  29.0000000    5.2968501902e+02                -nan
  29.5000000    5.1233512945e+02                -nan
  30.0000000    5.6527259089e+02                 inf
  30.5000000    4.9896736328e+02                 inf
  31.0000000    3.6477744034e+02                 inf
  31.5000000    8.6817373523e+02                 inf
  32.0000000    1.0562748288e+03                 inf
  32.5000000    8.7523240208e+02    3.5612262400e+08
  33.0000000    1.0709428723e+03    6.9830401667e+02
  33.5000000    1.0518171712e+03    8.1669257536e+02
  34.0000000    1.3517340760e+03    7.7913570345e+02
  34.5000000    1.5094277062e+03    7.9284662416e+02
  35.0000000    1.3770463124e+03    8.1771751185e+02
  35.5000000    1.0959444760e+03    1.1187247712e+03
  36.0000000    8.9349296164e+02    1.1227829586e+03
  36.5000000    1.0594909080e+03    1.0545247186e+03
  37.0000000    8.5549086993e+02    9.3400762745e+02
  37.5000000    1.0700516834e+03    9.0408712492e+02
  38.0000000    8.5296399058e+02    1.0073628943e+03
  38.5000000    1.0679241084e+03    9.0677778577e+02
  39.0000000    9.4188167616e+02                -nan
  39.5000000    1.1845554216e+03                -nan
  40.0000000    9.7317741436e+02                -nan
  40.5000000    1.1416362834e+03                -nan
  41.0000000    9.4977098006e+02                -nan
  41.5000000    1.1251040252e+03                -nan
  42.0000000    9.1453222183e+02                -nan
  42.5000000    1.1089431784e+03                -nan
  43.0000000    9.2519454736e+02                -nan
  43.5000000    1.1111275369e+03                -nan
  44.0000000    9.0931227352e+02                -nan
