#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -5.3447911019e-20   -5.2041704279e-18    3.4694469520e-18
   0.2500000    6.8524457901e-20    1.7347234760e-18    3.4694469520e-18
   0.5000000   -2.6344140854e-20   -3.4694469520e-18    6.9388939039e-18
   0.7500000   -3.9898660325e-20   -1.2143064332e-17   -1.0408340856e-17
   1.0000000   -2.6346295377e-20    6.9388939039e-18    5.2041704279e-18
   1.2500000   -1.2798580903e-20   -1.7347234760e-18   -6.9388939039e-18
   1.5000000   -2.6350650111e-20    6.9388939039e-18    5.2041704279e-18
   1.7500000   -1.0766730844e-19   -1.7347234760e-18   -8.6736173799e-18
   2.0000000    1.4304428265e-20   -8.6736173799e-18    0.0000000000e+00
   2.2500000   -6.7011373119e-20   -1.7347234760e-18   -3.4694469520e-18
   2.5000000   -9.4117789900e-20    1.7347234760e-18    1.7347234760e-18
   2.7500000   -6.7013924541e-20   -1.0408340856e-17   -3.4694469520e-18
   3.0000000   -1.2804370397e-20   -2.2551405188e-17   -2.7755575616e-17
   3.2500000   -1.2122725015e-19   -3.6429192996e-17   -2.4286128664e-17
   3.5000000   -2.7030514219e-19   -3.4694469520e-17   -3.6429192996e-17
   3.7500000   -1.2116223244e-19   -5.5511151231e-17   -5.3776427755e-17
   4.0000000    5.5020653548e-20   -7.2858385991e-17   -7.8062556419e-17
   4.2500000   -1.8892394828e-19   -1.9121840583e-08   -1.9121840583e-08
   4.5000000   -1.4826511512e-19   -1.5499370107e-08   -1.5499370114e-08
   4.7500000   -2.7023758920e-19   -6.6495077847e-09   -6.6495077899e-09
   5.0000000    6.8575614826e-20   -3.6520610876e-09   -3.6520610997e-09
   5.2500000   -1.0760613263e-19   -7.0430063231e-09   -7.0430063379e-09
   5.5000000   -1.8892101880e-19   -3.8268849686e-09   -3.8268849660e-09
   5.7500000   -9.4054451427e-20   -1.2624365515e-08   -1.2624365517e-08
   6.0000000   -2.0247395396e-19   -1.2262869909e-08   -1.2262869914e-08
   6.2500000   -1.4826155088e-19    2.3063105868e-08    2.3063105863e-08
   6.5000000    4.1474391647e-20   -1.7326001486e-08   -1.7326001486e-08
   6.7500000   -8.0498583937e-20    2.5388298477e-09    2.5388298634e-09
   7.0000000   -2.9733909580e-19    2.0432912688e-09    2.0432912636e-09
   7.2500000   -2.5664325836e-19    2.7571102103e-09    2.7571102103e-09
   7.5000000   -3.3795858109e-19    3.1698599908e-09    3.1698599943e-09
   7.7500000    5.5041912343e-20    8.4212586340e-09    8.4212586323e-09
   8.0000000   -6.7754342415e-18   -6.0889548464e-09   -6.0889548525e-09
   8.2500000   -8.9167114102e-18    9.1347787945e-09    9.1347787876e-09
   8.5000000    2.4524738491e-16    7.8686338174e-09    7.8686338244e-09
   8.7500000    3.3707930976e-16    9.4010103764e-09    9.4010103781e-09
   9.0000000   -1.7530727464e-15    9.8502424516e-09    9.8502424412e-09
   9.2500000    1.1270553482e-14    1.0389643664e-08    1.0389643664e-08
   9.5000000    6.5846417707e-14    1.1611756648e-08    1.1611756655e-08
   9.7500000    1.5967113241e-13    1.2407347877e-08    1.2407347877e-08
  10.0000000    9.3218700748e-14    1.3382727152e-08    1.3382727149e-08
  10.2500000   -4.5417052738e-13    1.3954711017e-08    1.3954711020e-08
  10.5000000   -8.1777583210e-13    1.4873451921e-08    1.4873451909e-08
  10.7500000    3.9818395438e-13    1.6779254764e-07    1.6779254763e-07
  11.0000000    3.1020487286e-12    1.7987502317e-07    1.7987502316e-07
  11.2500000    2.3309264133e-12   -1.1470415088e-07   -1.1470415089e-07
  11.5000000   -9.3491886324e-12   -1.0711055512e-07   -1.0711055512e-07
  11.7500000   -3.0518267573e-11    1.7089879276e-07    1.7089879276e-07
  12.0000000   -4.6057416534e-11    1.7757588491e-07    1.7757588492e-07
  12.2500000   -4.0787187999e-11    1.8425269004e-07    1.8425269004e-07
  12.5000000   -1.1208438284e-11    1.8637280405e-07    1.8637280405e-07
  12.7500000    4.3933146102e-11    1.7847659074e-07    1.7847659074e-07
  13.0000000    1.1809763256e-10    1.7876498221e-07    1.7876498221e-07
  13.2500000    1.7755925511e-10    1.5927960147e-07    1.5927960147e-07
  13.5000000    1.7618529471e-10    1.3688798070e-07    1.3688798072e-07
  13.7500000    8.7069703335e-11    1.4739575980e-07    1.4739575980e-07
  14.0000000   -7.4515240305e-11    1.4863245102e-07    1.4863245101e-07
  14.2500000   -2.2617719728e-10    4.7594218186e-09    4.7594218168e-09
  14.5000000   -2.7021677312e-10   -1.7063215089e-08   -1.7063215080e-08
  14.7500000   -2.1582230426e-10   -1.5489466922e-08   -1.5489466999e-08
  15.0000000   -1.6338690076e-10   -1.8858294655e-08   -1.8858294955e-08
  15.2500000   -1.5429888168e-10   -5.8748927208e-08   -5.8748927688e-08
  15.5000000   -1.2388095401e-10   -8.5456944125e-08   -8.5456944045e-08
  15.7500000   -4.5530001710e-12   -6.6622970750e-08   -6.6622968798e-08
  16.0000000    1.8160759591e-10   -6.6510787893e-08   -6.6510783546e-08
  16.2500000    3.7372641709e-10   -3.8995294586e-07   -3.8995294127e-07
  16.5000000    5.8167869815e-10   -5.1505037921e-07   -5.1505037886e-07
  16.7500000    8.3970258739e-10   -3.1462812084e-07   -3.1462812752e-07
  17.0000000    1.0351966190e-09   -3.3813549008e-07   -3.3813549957e-07
  17.2500000    1.0497401912e-09   -3.7325505534e-07   -3.7325505754e-07
  17.5000000    1.0434386922e-09   -4.0638820606e-07   -4.0638819907e-07
  17.7500000    1.1586771990e-09   -4.5394987992e-07   -4.5394989010e-07
  18.0000000    1.2239474552e-09   -4.8591297562e-07   -4.8591306220e-07
  18.2500000    1.0870485917e-09   -5.0294021943e-07   -5.0294044305e-07
  18.5000000    7.3466833917e-10   -5.4908181228e-07   -5.4908217949e-07
  18.7500000    1.1554090459e-10   -5.9409225987e-07   -5.9409269573e-07
  19.0000000   -6.8601613189e-10   -6.3378268526e-07   -6.3378308418e-07
  19.2500000   -1.4321679616e-09   -8.5949586593e-07   -8.5949620408e-07
  19.5000000   -1.9302943217e-09   -9.0722459097e-07   -9.0722500083e-07
  19.7500000   -1.9980596320e-09   -7.1897613251e-07   -7.1897684138e-07
  20.0000000   -1.6777736034e-09   -7.3212632719e-07   -7.3212747531e-07
  20.2500000   -1.4431357678e-09   -7.4704525876e-07   -7.4704674792e-07
