#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -2.9738664971e-18    8.6398216982e-21    3.0687191920e-31
   0.2500000   -3.1534148217e-18    7.6359720324e-21   -3.7819236738e-30
   0.5000000   -2.8677555160e-18    5.3541695965e-21   -2.3820658165e-30
   0.7500000   -2.5433101871e-18    8.7408362598e-21   -8.0939828372e-31
   1.0000000   -3.4017270044e-18    7.7650543108e-21    2.9122913493e-29
   1.2500000   -4.6713352342e-18    8.8778155000e-21   -1.8883978049e-29
   1.5000000   -4.2307407290e-18    1.3464392145e-20   -6.4563954307e-29
   1.7500000   -9.0507854863e-19    1.2022815257e-20   -8.1342137486e-30
   2.0000000   -3.6909767658e-18    1.0997781600e-20    2.4108885038e-29
   2.2500000   -4.3954135582e-18    7.3611697595e-21    2.1519124519e-29
   2.5000000   -3.9047184988e-18    9.4495572014e-21    1.9386535467e-29
   2.7500000   -2.8081920219e-18    6.5675460647e-21   -3.7085709781e-30
   3.0000000   -7.2640625343e-19    6.5680184861e-21   -6.8569509429e-30
   3.2500000   -3.4609586693e-18    3.0756230404e-21   -8.4834357086e-30
   3.5000000   -7.0931060390e-18    5.0895001176e-21   -6.3457104501e-29
   3.7500000   -1.7493400282e-18   -3.6390188600e-22   -8.0808341912e-29
   4.0000000   -3.5010935434e-18    3.3770939333e-21   -7.4261977672e-30
   4.2500000   -5.5695454311e-18    7.1435839098e-21    3.5856760558e-29
   4.5000000    1.2924268992e-18    9.7204477362e-21    7.3696899605e-29
   4.7500000   -1.5252483169e-19    1.4243585605e-20    5.6849407931e-29
   5.0000000   -9.3010951448e-18    6.5489836307e-21    2.0000982487e-29
   5.2500000   -6.3182788796e-18   -2.6921871139e-21   -1.5805318571e-29
   5.5000000   -3.7379027248e-18   -1.3673992833e-21    2.3925724254e-30
   5.7500000   -2.1161072214e-18    8.0018250512e-21   -2.5735841842e-29
   6.0000000   -5.2421195386e-18    1.5298734373e-20   -9.1875274066e-29
   6.2500000   -4.1320190818e-18    1.2641414086e-20   -7.7981628371e-29
   6.5000000   -5.0653761024e-18    1.4282435821e-20    2.2451592493e-29
   6.7500000   -2.7531580114e-18    1.4596383992e-20    7.7287010139e-29
   7.0000000   -6.3276822343e-18   -1.7448463478e-21    3.0969472772e-29
   7.2500000   -3.7776291091e-18   -1.1127758630e-20   -9.3002717766e-30
   7.5000000    5.6657199326e-18    3.7546417080e-21   -3.3068644500e-29
   7.7500000   -1.3516509990e-16    1.4105148969e-20    8.8964138464e-31
   8.0000000    5.8713496896e-16    9.1960727838e-21    3.7373275673e-29
   8.2500000    8.7719803028e-16    5.8457020776e-21    3.2044306473e-29
   8.5000000   -1.5492735876e-14   -8.7036361221e-22    1.8037997051e-30
   8.7500000    2.3231361401e-14    5.8680103382e-22   -3.2670900431e-29
