#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -3.2811192902e-20   -1.2143064332e-17   -8.6736173799e-18
   0.2500000   -4.9749496980e-20   -2.0816681712e-17   -1.9081958236e-17
   0.5000000    1.1457714491e-19   -6.9388939039e-18   -1.0408340856e-17
   0.7500000   -6.2450561746e-20   -1.0408340856e-17   -1.0408340856e-17
   1.0000000   -3.1562098546e-21   -1.5612511284e-17   -1.2143064332e-17
   1.2500000    1.0865396651e-19    0.0000000000e+00    3.4694469520e-18
   1.5000000    8.3244543859e-20   -5.2041704279e-18   -3.4694469520e-18
   1.7500000    1.2095235017e-20    5.2041704279e-18    6.9388939039e-18
   2.0000000   -8.1077401017e-20    2.2551405188e-17    1.9081958236e-17
   2.2500000    2.5649932734e-20    2.0816681712e-17    2.2551405188e-17
   2.5000000   -6.7523029994e-20    2.9490299092e-17    2.9490299092e-17
   2.7500000   -4.3805756660e-20    2.6888213878e-17    3.2092384306e-17
   3.0000000    3.0733676221e-20    2.6020852140e-17    2.4286128664e-17
   3.2500000   -3.8722732432e-20    3.9898639947e-17    3.8163916471e-17
   3.5000000    4.7675037368e-20    5.2041704279e-17    5.2041704279e-17
   3.7500000   -6.3827936689e-21    5.7245874707e-17    5.6378512969e-17
   4.0000000    1.3945281050e-20    6.5919492087e-17    6.7654215563e-17
   4.2500000   -9.7721372256e-21    1.8914032580e-10    1.8914032753e-10
   4.5000000    1.2067034870e-19    6.1525424946e-10    6.1525424686e-10
   4.7500000   -5.8901197373e-20   -6.4950708553e-09   -6.4950708535e-09
   5.0000000   -6.3857874938e-21   -7.0757901170e-09   -7.0757901162e-09
   5.2500000    8.3399290925e-20   -3.1719318144e-11   -3.1719315542e-11
   5.5000000   -2.9984286038e-21   -9.6355534662e-11   -9.6355530325e-11
   5.7500000    1.9690080992e-19    8.1098727794e-09    8.1098727785e-09
   6.0000000    1.4777241451e-19    8.5471135568e-09    8.5471135568e-09
   6.2500000    1.2405529276e-19    7.8751466849e-09    7.8751466823e-09
   6.5000000    3.5963621458e-20    7.0881266412e-09    7.0881266403e-09
   6.7500000    8.1703004322e-20   -6.3238356045e-10   -6.3238355871e-10
   7.0000000    2.0367546838e-19   -1.1720282670e-09   -1.1720282652e-09
   7.2500000    3.0873944620e-19   -1.3999620855e-09   -1.3999620803e-09
   7.5000000   -1.6546836549e-18   -1.4575054982e-09   -1.4575054982e-09
   7.7500000    1.0850905646e-17    3.9112781755e-09    3.9112781755e-09
   8.0000000   -1.6291418905e-17    3.5258953769e-09    3.5258953786e-09
   8.2500000   -3.1067941080e-16   -1.8176245049e-09   -1.8176245058e-09
   8.5000000    6.8135879975e-16   -2.3786947238e-09   -2.3786947238e-09
   8.7500000    7.0417786630e-16   -2.5983427545e-09   -2.5983427562e-09
   9.0000000   -3.9626946941e-14   -3.0002330759e-09   -3.0002330733e-09
   9.2500000   -1.8286784840e-13   -3.3321317762e-09   -3.3321317719e-09
   9.5000000   -2.3804155017e-13   -3.4646253817e-09   -3.4646253835e-09
   9.7500000   -1.2601776517e-16   -3.4521968331e-09   -3.4521968296e-09
