#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    1.8156003669e-04    1.1401107717e-20    1.8840007614e-05    8.7809138111e-23    7.9898041561e-06    1.3127896726e-22    3.7532714454e-06    7.3074887620e-23    1.8947165025e-06    5.9889265472e-24
   0.2500000    1.8129589402e-04    9.1141429134e-21    1.8809161968e-05    2.8542141253e-22    7.9758760560e-06    1.1153237628e-22    3.7461053197e-06    7.4566633054e-23    1.8908977943e-06   -6.3153614620e-24
   0.5000000    1.8103154379e-04    9.5130829844e-21    1.8778323300e-05    6.7117243162e-23    7.9619537088e-06    1.2498173645e-22    3.7397161876e-06    5.4073420606e-23    1.8871485644e-06   -7.0802831680e-24
   0.7500000    1.8076699893e-04    1.1132495299e-20    1.8747491856e-05   -1.1837829507e-22    7.9480373524e-06    8.2305176286e-23    3.7335538040e-06    8.9402563500e-23    1.8834087208e-06    1.0266125633e-23
   1.0000000    1.8050227144e-04    6.7043933301e-21    1.8716668010e-05   -9.3208393900e-23    7.9341269942e-06    1.5555781262e-22    3.7270495582e-06    7.7917563123e-23    1.8796076162e-06    1.7844059981e-23
   1.2500000    1.8023737314e-04    1.3779668109e-20    1.8685852051e-05    2.8058231041e-22    7.9202226752e-06    5.7335062824e-23    3.7196769800e-06    5.8306181013e-23    1.8757262657e-06   -3.6881989143e-24
   1.5000000    1.7997231542e-04    8.8480183445e-21    1.8655044080e-05   -8.5629943996e-24    7.9063245309e-06    1.2570654567e-22    3.7116407491e-06    1.3412790332e-22    1.8718421969e-06    1.2617272134e-23
   1.7500000    1.7970710881e-04    6.3346268019e-21    1.8624244298e-05   -2.5601237545e-22    7.8924327726e-06    7.8442416660e-23    3.7038288062e-06    9.0730553653e-23    1.8680611531e-06   -5.1115866113e-24
   2.0000000    1.7944176365e-04    1.4710266791e-20    1.8593452982e-05   -3.9812771840e-23    7.8785473604e-06    1.3709275972e-22    3.6970294716e-06    9.4344973536e-23    1.8644062429e-06   -2.0756535257e-24
   2.2500000    1.7917629028e-04    8.2507489043e-21    1.8562670303e-05    1.7116112778e-22    7.8646680512e-06    1.3520200552e-22    3.6911624368e-06    9.9687498525e-23    1.8607826199e-06    1.3460694806e-23
   2.5000000    1.7891069830e-04    1.0511908594e-20    1.8531896481e-05   -8.3798338345e-23    7.8507951099e-06    1.3054366935e-22    3.6852953972e-06    5.7551987901e-23    1.8570560997e-06   -9.4883373004e-24
