#       time             L^2_Ham             L^2_Mom
   0.0000000    1.2582062656e-02    4.6610209155e-05
   0.5000000    1.2582062656e-02    4.6610209155e-05
   1.0000000    9.4714756525e+02    9.7018711677e+19
   1.5000000                -nan                 inf
   2.0000000                -nan                -nan
   2.5000000                -nan                -nan
   3.0000000                -nan                -nan
   3.5000000                -nan                -nan
   4.0000000                -nan                -nan
   4.5000000                -nan                -nan
   5.0000000                -nan                -nan
   5.5000000                -nan                -nan
   6.0000000                -nan                -nan
   6.5000000                -nan                -nan
   7.0000000                -nan                -nan
   7.5000000                -nan                -nan
   8.0000000                -nan                -nan
   8.5000000                -nan                -nan
   9.0000000                -nan                -nan
   9.5000000                -nan                -nan
  10.0000000                -nan                -nan
  10.5000000                -nan                -nan
  11.0000000                -nan                -nan
  11.5000000                -nan                -nan
  12.0000000                -nan                -nan
  12.5000000                -nan                -nan
  13.0000000                -nan                -nan
  13.5000000                -nan                -nan
  14.0000000                -nan                -nan
  14.5000000                -nan                -nan
  15.0000000                -nan                -nan
  15.5000000                -nan                -nan
  16.0000000                -nan                -nan
  16.5000000                -nan                -nan
  17.0000000                -nan                -nan
  17.5000000                -nan                -nan
  18.0000000                -nan                -nan
  18.5000000                -nan                -nan
  19.0000000                -nan                -nan
  19.5000000                -nan                -nan
  20.0000000                -nan                -nan
  20.5000000                -nan                -nan
  21.0000000                -nan                -nan
  21.5000000                -nan                -nan
  22.0000000                -nan                -nan
  22.5000000                -nan                -nan
  23.0000000                -nan                -nan
  23.5000000                -nan                -nan
  24.0000000                -nan                -nan
  24.5000000                -nan                -nan
  25.0000000                -nan                -nan
  25.5000000    2.5390925792e+02                 inf
  26.0000000                -nan                -nan
  26.5000000    2.1015344007e+02    8.8412471103e+02
  27.0000000    2.7084825242e+02    9.9709950954e+02
  27.5000000    3.6716038527e+02    8.7708580101e+02
  28.0000000    3.5688330077e+02    8.7584440881e+02
  28.5000000    3.7616983482e+02    9.0037308657e+02
  29.0000000    4.0558764597e+02    9.2132325149e+02
  29.5000000    4.2230643663e+02    9.3221044748e+02
  30.0000000    6.5302336892e+02    9.8422516590e+02
  30.5000000    3.4537103929e+02    9.0755724060e+02
  31.0000000                -nan                -nan
  31.5000000                -nan                -nan
  32.0000000                -nan                -nan
  32.5000000    4.0382484207e+02                -nan
  33.0000000    4.7622179756e+02                -nan
  33.5000000    4.7062965348e+02                -nan
  34.0000000    4.6297501592e+02                -nan
  34.5000000    4.0089549527e+02                -nan
  35.0000000    4.5907408133e+02                -nan
  35.5000000    3.9448181114e+02                -nan
  36.0000000    3.9525943215e+02                -nan
  36.5000000    4.3451815021e+02                -nan
  37.0000000    4.8342537736e+02                -nan
  37.5000000    4.5762954834e+02    9.8501622810e+02
  38.0000000    4.5446439667e+02    9.9072588533e+02
  38.5000000    4.7792265549e+02    9.9789388992e+02
  39.0000000    4.8638415250e+02    1.0164264541e+03
  39.5000000    4.8851946964e+02    9.9086428297e+02
  40.0000000    5.9250689627e+02    1.0159663071e+03
  40.5000000    4.5459897983e+02    1.0221069518e+03
  41.0000000    4.3608615079e+02    1.0513054990e+03
  41.5000000    4.3400954102e+02    1.0344025298e+03
  42.0000000    5.8946840814e+02    1.0509644812e+03
  42.5000000    6.0253099911e+02                -nan
  43.0000000    4.7551204167e+02    1.0403405867e+03
  43.5000000    4.7030473944e+02    1.0436704606e+03
  44.0000000    4.3929024370e+02    1.0489166114e+03
  44.5000000                -nan                -nan
  45.0000000                -nan                -nan
  45.5000000                -nan                -nan
  46.0000000    4.8507219752e+02    1.3240867498e+03
  46.5000000                -nan                -nan
  47.0000000                -nan                -nan
  47.5000000                -nan                -nan
  48.0000000    4.3121167129e+02                -nan
  48.5000000    4.4531574417e+02                -nan
  49.0000000    3.9069949113e+02                -nan
  49.5000000    3.8669043361e+02                -nan
  50.0000000    4.3660628573e+02                -nan
  50.5000000    9.6639107704e+01                -nan
  51.0000000    1.3577439201e+02                -nan
  51.5000000    1.3691002160e+02                -nan
  52.0000000    1.5528874633e+02                -nan
  52.5000000                -nan                -nan
  53.0000000                -nan                -nan
  53.5000000                -nan                -nan
  54.0000000                -nan                -nan
  54.5000000                -nan                -nan
  55.0000000                -nan                -nan
  55.5000000                -nan                -nan
  56.0000000    6.2248933271e+02                -nan
  56.5000000    5.7231142137e+02                -nan
  57.0000000    5.7061368740e+02                -nan
  57.5000000    2.4499737058e+02                -nan
  58.0000000    2.6160315202e+02                -nan
  58.5000000    2.8323641298e+02                -nan
  59.0000000    2.4335644544e+02                -nan
  59.5000000    2.4771763516e+02                -nan
  60.0000000    2.5429791511e+02                -nan
  60.5000000    2.9852880582e+02                -nan
  61.0000000    2.8986479538e+02                -nan
  61.5000000    4.7551930976e+02                -nan
  62.0000000    4.0326136538e+02                -nan
  62.5000000    3.5763583618e+02                -nan
  63.0000000    3.3500595244e+02                -nan
  63.5000000    2.7458334103e+02                -nan
  64.0000000    1.2492203215e+52                -nan
  64.5000000    1.2492203215e+52                -nan
  65.0000000    2.8421060130e+02                -nan
  65.5000000    3.0180144076e+02                -nan
  66.0000000    3.0572737487e+02                -nan
  66.5000000    4.0964004650e+02                -nan
  67.0000000    4.8817680046e+02                -nan
  67.5000000    1.2343810917e+44                -nan
  68.0000000                -nan                -nan
  68.5000000                -nan                -nan
  69.0000000    4.7258937075e+02                -nan
  69.5000000    5.5179364433e+02                -nan
  70.0000000    5.7684978283e+02                -nan
  70.5000000                -nan                -nan
  71.0000000                -nan                -nan
