#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -5.7492361295e-20   -7.3901465391e-18   -5.4362801814e-18
   0.2500000   -5.2860149865e-20    1.4792210725e-18   -3.2031054018e-20
   0.5000000   -2.6152142246e-20    7.6512834086e-17    7.3822503692e-17
   0.7500000   -4.8174998875e-20    4.6862775963e-17    5.1164475163e-17
   1.0000000    4.9683776312e-20   -1.2385244328e-16   -1.2190014850e-16
   1.2500000    4.1186977060e-20   -4.7499308981e-17   -5.0979378018e-17
   1.5000000    7.8456426739e-20   -4.4524944605e-17   -4.4303556804e-17
   1.7500000    3.1446098167e-20   -1.3349951282e-17   -1.5597600773e-17
   2.0000000    5.0080823006e-20   -7.4330945290e-17   -6.8768400106e-17
   2.2500000   -9.8123472983e-20    6.6548213735e-17    6.3310002057e-17
   2.5000000   -8.3379805745e-21   -6.7323312800e-17   -6.6131684605e-17
   2.7500000   -7.0171385724e-20   -2.0002364834e-16   -1.9956315006e-16
   3.0000000   -7.3136001039e-20   -9.4180658741e-17   -9.6670691262e-17
   3.2500000   -3.2054903098e-20   -1.4333313268e-16   -1.5037833477e-16
   3.5000000    4.3410438547e-21   -1.2160936484e-16   -1.2120152384e-16
   3.7500000   -8.8356124310e-20   -1.2562295113e-08   -1.2562295113e-08
   4.0000000   -2.1374347028e-19   -7.8424679719e-09   -7.8424679772e-09
   4.2500000   -1.3623995561e-19   -2.0808287820e-08   -2.0808287818e-08
   4.5000000   -1.9322939109e-20   -9.4181197116e-09   -9.4181197112e-09
   4.7500000   -1.5699226282e-19   -2.6200362088e-08   -2.6200362090e-08
   5.0000000   -1.2104630212e-19   -2.5204843194e-08   -2.5204843193e-08
   5.2500000   -7.5280053187e-20   -1.5973316842e-08   -1.5973316835e-08
   5.5000000   -1.6834779827e-20   -1.6665342663e-08   -1.6665342665e-08
   5.7500000   -1.1048486006e-19   -2.1978636398e-08   -2.1978636395e-08
   6.0000000   -9.3120684639e-20   -5.8680357171e-09   -5.8680357135e-09
   6.2500000   -1.2446090369e-19    6.0545454203e-09    6.0545454217e-09
   6.5000000   -2.4934532385e-20   -2.1212955574e-08   -2.1212955579e-08
   6.7500000    1.0953194799e-19   -1.6749929028e-08   -1.6749929028e-08
   7.0000000    6.3792168840e-20   -1.7132730229e-08   -1.7132730239e-08
   7.2500000   -5.1933707579e-20   -1.7887517157e-08   -1.7887517159e-08
   7.5000000   -1.0111455808e-19   -1.7252972672e-08   -1.7252972675e-08
   7.7500000    1.4253976316e-19   -1.8585936198e-08   -1.8585936198e-08
   8.0000000    2.2298142336e-19   -1.9133786815e-08   -1.9133786812e-08
   8.2500000    2.8261783681e-19   -1.9235260513e-08   -1.9235260513e-08
   8.5000000    2.7581510345e-19   -1.9393102499e-08   -1.9393102500e-08
   8.7500000    1.1487884347e-19   -1.9501250834e-08   -1.9501250833e-08
   9.0000000    1.9534697346e-19   -1.9523202934e-08   -1.9523202936e-08
   9.2500000    1.5384235905e-19   -1.9549086329e-08   -1.9549086329e-08
   9.5000000    1.2925193380e-19   -1.9226814816e-08   -1.9226814819e-08
   9.7500000    8.1818088749e-20   -1.9209640596e-08   -1.9209640593e-08
  10.0000000   -1.5529819692e-19   -1.8607567680e-08   -1.8607567678e-08
  10.2500000   -1.1466708523e-19   -1.8454579539e-08   -1.8454579538e-08
  10.5000000   -3.3320158563e-19   -1.8086683137e-08   -1.8086683131e-08
  10.7500000    2.5207171115e-19    1.3452846978e-07    1.3452846979e-07
  11.0000000   -3.9754432588e-18    1.4349992611e-07    1.4349992611e-07
  11.2500000    1.5754601061e-17   -1.6661632776e-07   -1.6661632776e-07
  11.5000000    1.4880251301e-18   -1.7767245330e-07   -1.7767245330e-07
  11.7500000   -3.9401468665e-16    9.6980731068e-08    9.6980731070e-08
  12.0000000    1.3563551819e-15    1.0390072239e-07    1.0390072238e-07
  12.2500000    4.6195530523e-16    1.0908197441e-07    1.0908197441e-07
  12.5000000   -1.0940559132e-14    1.1212703119e-07    1.1212703119e-07
