#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -1.9635840317e-18    6.4956388349e-21    4.3757347956e-30
   0.2500000   -1.8641384497e-18    5.9715800002e-21    3.4552009526e-31
   0.5000000   -1.0884548551e-18    3.3400088482e-21   -1.1555824422e-30
   0.7500000   -3.2847243656e-18    6.9626697187e-21    9.5209327142e-30
   1.0000000   -1.8080619983e-18    1.0219250559e-20   -7.5871589037e-30
   1.2500000   -1.2874971863e-18    1.0408113341e-20   -2.2149848414e-29
   1.5000000   -2.8452972740e-18    4.8317015284e-21   -4.1149584367e-30
   1.7500000   -2.6744330423e-18   -9.0098741208e-22    7.3524525508e-30
   2.0000000   -2.8749836334e-18    2.7446271772e-21    1.2639874381e-29
   2.2500000   -7.5734049539e-19    5.2293160135e-21   -9.1530824351e-31
   2.5000000   -3.2121453761e-18    4.8005502802e-21   -7.1880090422e-30
   2.7500000   -3.4498664355e-18    8.8971860574e-21   -9.9425874273e-30
   3.0000000   -2.0867972374e-18    8.8218582475e-21   -1.9166442119e-29
   3.2500000   -1.2643240556e-18    6.6014860115e-21   -5.2173886917e-30
   3.5000000   -1.5171167411e-18    6.3176604603e-21    2.3676168114e-29
   3.7500000   -2.0638415015e-18    5.9655192417e-21   -3.6502300533e-30
   4.0000000   -3.9573031057e-18    6.8299606355e-21   -1.7291723105e-29
   4.2500000   -7.8613510458e-19    6.6843718014e-21   -1.7814695488e-29
   4.5000000   -2.4499304044e-18    2.4601871746e-21   -1.2425495602e-29
   4.7500000   -5.0100862280e-18    1.1565254432e-20    2.9648467904e-29
   5.0000000   -2.4822981619e-18    9.0089825571e-21    3.4491357803e-29
   5.2500000    5.9876736144e-19    7.8468728060e-21    9.1014219790e-30
   5.5000000   -2.3015049217e-18    3.7220426230e-22   -3.2103074825e-29
   5.7500000   -6.3715753037e-18    1.1548766891e-21   -3.9166064544e-29
   6.0000000    1.0221590331e-18    4.8764924136e-22   -8.9613580118e-30
   6.2500000   -8.4502896667e-19    3.4826153394e-21    6.5173218267e-30
   6.5000000   -3.6524355397e-18    4.5355555062e-23    1.3006277872e-29
   6.7500000   -4.2606301487e-18   -2.9768307014e-21    1.7676648751e-29
   7.0000000   -4.6138508758e-18   -2.8420236423e-21    1.4182105385e-29
   7.2500000   -1.5051816811e-18    9.4727807355e-21    2.3909814405e-29
   7.5000000    1.7118568104e-18    2.0027733897e-20    2.1386315990e-29
   7.7500000   -5.0781074013e-18    1.8520258353e-20    4.3720651786e-30
   8.0000000   -5.8139596256e-18    3.8555087272e-21   -1.9165668198e-29
   8.2500000   -1.3193738057e-19   -7.1103183366e-21   -2.0562229756e-29
   8.5000000   -4.7718282343e-18    4.9955781605e-22   -2.7552322632e-29
   8.7500000   -3.9137284726e-18    1.0306546449e-20   -3.8558143726e-30
   9.0000000    1.2187530180e-18    1.0967193873e-20    1.2438782467e-29
   9.2500000   -6.1096410157e-19   -4.7281733926e-21   -9.5608945378e-30
   9.5000000   -9.2219263610e-18   -9.0307919598e-21   -3.0355688145e-29
   9.7500000   -3.0701419671e-18   -4.1580601923e-21   -3.6661096881e-29
  10.0000000    6.6495198436e-19    5.0904902169e-21   -3.8649070872e-29
  10.2500000   -8.8439227572e-19    1.0067695963e-20   -2.7000697653e-29
  10.5000000   -6.9804306550e-18    3.7401073891e-21    7.2499795712e-30
  10.7500000    3.8157347134e-17    3.6321853555e-22    3.9370999903e-29
  11.0000000   -3.6715661805e-16    3.7488260785e-21    4.1193743853e-29
  11.2500000    2.2609869353e-15    7.6884412009e-21    2.8503874274e-29
  11.5000000   -7.6521977541e-15    2.2490576381e-21    1.3847240515e-29
  11.7500000   -4.5963735063e-16   -1.6713715312e-20    1.2351125038e-29
  12.0000000    1.0383983077e-13   -3.2600860955e-20    4.8852703104e-30
  12.2500000   -2.5997538769e-13    7.7464454657e-20   -3.0127722175e-29
  12.5000000   -1.2195873203e-13    4.0475542464e-19   -2.7435509459e-29
  12.7500000    9.6211133301e-13    5.7948292047e-19    2.6431679118e-29
  13.0000000   -5.3678364353e-14    1.1576189768e-18    5.9520460515e-29
  13.2500000   -1.1714913546e-12    4.8127736643e-18    3.5377318623e-29
  13.5000000    1.1715555986e-12   -4.6440057529e-19   -1.8800894616e-29
  13.7500000    1.8134758884e-12   -6.7523534573e-17   -6.3121907057e-29
  14.0000000    1.6099324351e-12   -2.0957306816e-16   -4.2952411352e-29
  14.2500000    6.9168956480e-13   -1.5017282159e-16    2.3489461854e-29
  14.5000000   -4.6833223856e-12    6.4374495514e-16    5.2406001071e-29
  14.7500000    1.8960769685e-12    1.9291770043e-15    3.6979612497e-29
  15.0000000    1.9220061824e-11    1.5158396181e-15   -2.2194360344e-29
  15.2500000   -3.8729869852e-11   -2.7918636675e-15   -6.7731413589e-29
  15.5000000   -1.9627746034e-10   -7.2763422865e-15   -6.5114898907e-29
  15.7500000   -3.2486865399e-11   -7.0017968730e-16    1.7164561496e-29
  16.0000000    8.1859425854e-10    2.1485488485e-14    9.5496770925e-29
  16.2500000    1.4341726786e-09    3.4953606248e-14    1.1609687300e-28
  16.5000000    8.8343288355e-10   -7.5083318696e-15    4.4021269589e-29
  16.7500000    3.2457888154e-10   -1.1859666838e-13   -4.2544310055e-29
  17.0000000    7.3027979958e-10   -2.1916504375e-13   -8.5950098546e-29
  17.2500000    6.5279612414e-10   -1.8415815632e-13   -6.0312810114e-29
  17.5000000   -4.8736540073e-10    1.8435737856e-15    1.2586340301e-29
  17.7500000   -3.1752896378e-10    1.7117600903e-13    9.0170745816e-29
  18.0000000    1.7628128339e-09    1.8628170695e-13    1.2096925290e-28
  18.2500000    2.5659079040e-09    2.9743475487e-13    8.2179022030e-29
  18.5000000    1.4980232857e-09    1.1509410389e-12    1.0818391741e-29
  18.7500000    1.0535230426e-09    3.1940762796e-12   -6.2537471579e-29
  19.0000000    3.8998934889e-10    5.9861290027e-12   -1.1999307313e-28
  19.2500000   -1.3179423852e-09    8.2582554279e-12   -1.3591220095e-28
  19.5000000   -8.7722608926e-10    8.8260512608e-12   -1.1235035887e-28
  19.7500000    6.0410813187e-10    7.4219477284e-12   -9.3117494890e-29
  20.0000000   -1.9304548279e-09    4.5483941916e-12   -9.3243505619e-29
  20.2500000   -6.0042539192e-09    6.3582805346e-13   -6.0712760944e-29
  20.5000000   -6.5007289815e-09   -4.3582846424e-12    5.9012081968e-29
  20.7500000   -5.9467401471e-09   -1.0393940155e-11    2.2163475272e-28
  21.0000000   -7.2653563097e-09   -1.6662196388e-11    2.7817996818e-28
  21.2500000   -6.1925422597e-09   -2.1885404836e-11    1.9011463804e-28
  21.5000000   -6.5773151822e-10   -2.5449536731e-11    5.5343314158e-29
  21.7500000    1.7485334336e-09   -2.7933503922e-11   -5.0847306400e-29
  22.0000000   -2.5190599631e-09   -3.0104592070e-11   -9.0890375191e-29
  22.2500000   -6.0305222996e-09   -3.1385254605e-11   -9.1679305308e-29
  22.5000000   -6.0735115996e-09   -2.9818860892e-11   -1.0903733537e-28
  22.7500000   -7.2356947242e-09   -2.4113608958e-11   -1.4778707468e-28
  23.0000000   -9.5638096140e-09   -1.5760068169e-11   -1.6699910904e-28
  23.2500000   -9.9687232544e-09   -8.5193782257e-12   -1.4606058361e-28
