#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -3.9561980747e-21   -4.4099499200e-16   -4.4151152546e-16
   0.2500000    9.3644496762e-20   -4.2763105545e-16   -4.2688368191e-16
   0.5000000    1.1627884666e-20   -4.3618248216e-16   -4.3632206335e-16
   0.7500000   -1.7396642258e-20   -4.3879821469e-16   -4.3813533439e-16
   1.0000000    2.9249313255e-20   -4.2339477982e-16   -4.2124264480e-16
   1.2500000    9.0789276082e-21   -4.1588950893e-16   -4.1704356415e-16
   1.5000000    4.9861413349e-20   -4.1534900038e-16   -4.1691418062e-16
   1.7500000    3.9353117642e-20   -4.0336668907e-16   -4.0490828115e-16
   2.0000000    2.0468956489e-19   -3.9111486491e-16   -3.9065905880e-16
   2.2500000   -1.3582305658e-21   -3.9020302318e-16   -3.8985539616e-16
   2.5000000   -6.8875814090e-20   -3.8159101870e-16   -3.8095264752e-16
   2.7500000    5.3249545138e-20   -3.7155118948e-16   -3.7159464871e-16
   3.0000000    1.2610182323e-19   -3.6665500545e-16   -3.6609843889e-16
   3.2500000    1.1060500804e-19   -3.6303396675e-16   -3.6332015158e-16
   3.5000000   -6.3081827489e-20   -3.5059392477e-16   -3.5033128984e-16
   3.7500000    8.8956864230e-20   -5.1148288599e-09   -5.1148288615e-09
   4.0000000   -1.1385293272e-19   -6.6006607914e-09   -6.6006607928e-09
   4.2500000    7.2741022297e-20   -5.7302828137e-09   -5.7302828133e-09
   4.5000000    1.3329953533e-19   -3.7444668657e-09   -3.7444668647e-09
   4.7500000    9.3027626820e-20   -3.2497909624e-09   -3.2497909641e-09
   5.0000000   -1.0751817679e-19   -4.3976675517e-09   -4.3976675510e-09
   5.2500000    3.4245277360e-22    2.5890477796e-09    2.5890477797e-09
   5.5000000    7.4418544579e-20    3.0280115068e-09    3.0280115078e-09
   5.7500000   -3.9233176453e-20    4.0987341049e-09    4.0987341067e-09
   6.0000000   -4.6760520028e-21    5.4001134720e-09    5.4001134722e-09
   6.2500000   -3.4851187158e-20    3.7814351085e-09    3.7814351088e-09
   6.5000000   -7.8843547266e-20    4.8152174464e-09    4.8152174457e-09
   6.7500000   -1.1561875653e-19    2.3525972054e-09    2.3525972074e-09
   7.0000000   -6.8450850050e-20    2.1497907933e-09    2.1497907925e-09
   7.2500000    5.8681019835e-20    1.8978408922e-09    1.8978408905e-09
   7.5000000    6.9150644848e-20    1.8375873625e-09    1.8375873643e-09
   7.7500000   -1.0209766224e-19    1.5942025073e-09    1.5942025081e-09
   8.0000000   -1.5584579049e-19    1.3516359456e-09    1.3516359458e-09
