#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000
   0.0000000    1.1401170832e-04   -2.5457710327e-20    1.5198872616e-06    5.7289474778e-22    3.0703383735e-07   -2.6977838906e-22    7.6533867148e-08   -1.7071671517e-22    2.2215827255e-08    2.2741840050e-23
   0.2500000    1.1357004029e-04   -2.4991730751e-20    1.5136971002e-06   -1.6475690731e-24    3.0575155024e-07   -2.7339098102e-22    7.6519270229e-08   -1.4587860346e-22    2.2109775128e-08    1.9139465748e-23
   0.5000000    1.1312949018e-04   -3.0138502845e-20    1.5075266732e-06    2.7174848489e-22    3.0447360654e-07   -2.4653090561e-22    7.6072372195e-08   -1.0055212424e-22    2.2007676885e-08    1.6688347096e-23
   0.7500000    1.1269006422e-04   -1.6386411912e-20    1.5013760019e-06    6.4207791697e-22    3.0320000961e-07   -2.0531533742e-22    7.5524953069e-08   -1.7157584008e-22    2.1897652746e-08    2.1794619646e-23
   1.0000000    1.1225176800e-04   -2.1109926060e-20    1.4952450277e-06    3.0479436793e-22    3.0193072366e-07   -2.4706047165e-22    7.4909368977e-08   -1.7730974063e-22    2.1814274531e-08    1.7755853644e-24
   1.2500000    1.1181460670e-04   -2.1446559337e-20    1.4891337437e-06    5.1136304287e-22    3.0066572544e-07   -2.5521134724e-22    7.4385153566e-08   -1.3473621947e-22    2.1796662957e-08    2.1327559316e-23
   1.5000000    1.1137858494e-04   -2.8395217066e-20    1.4830421169e-06    7.7516872799e-23    2.9940511004e-07   -2.5498218251e-22    7.4282619593e-08   -1.1662049128e-22    2.1807416358e-08   -2.4903457567e-24
   1.7500000    1.1094370673e-04   -2.3352105349e-20    1.4769700812e-06    4.4091188718e-22    2.9814879325e-07   -2.4774147361e-22    7.4756916133e-08   -1.4130623644e-22    2.1741419023e-08   -5.4845503904e-26
   2.0000000    1.1050997570e-04   -2.3856864936e-20    1.4709175810e-06    2.0778756895e-22    2.9689677600e-07   -2.2390572673e-22    7.5331001065e-08   -1.5216982903e-22    2.1555196754e-08    2.2843906767e-23
   2.2500000    1.1007739515e-04   -2.0793295228e-20    1.4648846231e-06    1.1379297246e-22    2.9564872524e-07   -1.8882506293e-22    7.5053663888e-08   -1.4097530264e-22    2.1327099156e-08    3.4665640839e-23
   2.5000000    1.0964596815e-04   -3.0096486975e-20    1.4588711553e-06    2.3891246522e-22    2.9440486526e-07   -2.5335113159e-22    7.3521378731e-08   -1.5901105344e-22    2.1144925422e-08    3.3310443726e-23
   2.7500000    1.0921569672e-04   -2.7456448471e-20    1.4528771257e-06   -1.1831609203e-22    2.9316669240e-07   -2.4558622270e-22    7.1621262168e-08   -9.6358900899e-23    2.1002070626e-08    4.4235431306e-23
   3.0000000    1.0878658071e-04   -2.5152865959e-20    1.4469024988e-06    4.3551232943e-22    2.9193336763e-07   -2.7827222383e-22    7.0797249722e-08   -1.0571736373e-22    2.0863526121e-08    9.6741335293e-24
   3.2500000    1.0835862193e-04   -1.9664115677e-20    1.4409472212e-06    2.4265311831e-22    2.9070069671e-07   -2.9264120874e-22    7.1507554103e-08   -1.5080412909e-22    2.0758809744e-08    1.9917956193e-23
   3.5000000    1.0793182883e-04   -2.5877886610e-20    1.4350112525e-06    6.1847980443e-22    2.8946952306e-07   -1.8814840592e-22    7.2747070383e-08   -2.1492325852e-22    2.0722754596e-08    5.4870748694e-23
   3.7500000    1.0750620628e-04   -2.6042507842e-20    1.4290945312e-06   -5.1139781233e-23    2.8824671569e-07   -2.8199733172e-22    7.3190453787e-08   -2.0934661274e-22    2.0702930922e-08    3.1264782094e-23
   4.0000000    1.0708174104e-04   -2.0836843898e-20    1.4231969996e-06    1.2132276608e-22    2.8703382936e-07   -3.4203772924e-22    7.2487085674e-08   -6.7788181760e-23    2.0621366565e-08    3.3893185884e-23
   4.2500000    1.0665841351e-04   -2.1619363742e-20    1.4173185943e-06    5.2744222578e-22    2.8582423996e-07   -3.1954235939e-22    7.1291775357e-08   -1.0952935037e-22    2.0494919049e-08    2.3512942596e-23
   4.5000000    1.0623622553e-04   -2.1446819552e-20    1.4114593282e-06    2.3731244696e-22    2.8461107784e-07   -1.4862677199e-22    7.0370655523e-08   -8.3410076546e-23    2.0413501479e-08    6.7811067160e-24
   4.7500000    1.0581520768e-04   -1.6971970014e-20    1.4056190828e-06    2.3644981818e-22    2.8339377834e-07   -1.8128769634e-22    6.9988386394e-08   -1.1561630085e-22    2.0416138529e-08    2.1895302114e-23
   5.0000000    1.0539540240e-04   -3.0322335471e-20    1.3997978136e-06   -2.4610997408e-23    2.8218221521e-07   -1.4944620685e-22    6.9972210402e-08   -1.3705581526e-22    2.0449083111e-08   -1.8697596125e-25
   5.2500000    1.0497682067e-04   -2.2922515214e-20    1.3939954888e-06    2.2934425659e-22    2.8098733137e-07   -2.8324724060e-22    7.0008501609e-08   -1.2123641977e-22    2.0434317672e-08    1.7746667341e-23
   5.5000000    1.0455938901e-04   -2.1019071701e-20    1.3882120082e-06   -9.3370131252e-23    2.7980333002e-07   -2.9440414965e-22    6.9857514094e-08   -1.5587014517e-22    2.0331621017e-08    4.6734171742e-23
   5.7500000    1.0414300425e-04   -2.3369597130e-20    1.3824473380e-06    4.9147745471e-22    2.7861589048e-07   -3.7283658850e-22    6.9473146138e-08   -1.3967056969e-22    2.0147570878e-08    1.3852632321e-23
   6.0000000    1.0372770621e-04   -2.1259355891e-20    1.3767014086e-06    2.9645473912e-22    2.7742968918e-07   -1.3921405922e-22    6.8978363336e-08   -8.3049904734e-23    1.9935683869e-08    1.3938221595e-23
   6.2500000    1.0331367947e-04   -2.6171070826e-20    1.3709741699e-06    1.1403609060e-22    2.7626303668e-07   -2.3459829342e-22    6.8518758586e-08   -1.4216598831e-22    1.9783201310e-08    7.4720482607e-24
   6.5000000    1.0290097742e-04   -2.1388275112e-20    1.3652655692e-06    4.1431189194e-22    2.7511257143e-07   -3.8304868638e-22    6.8180379111e-08   -7.1974228881e-23    1.9742153609e-08    1.0037978259e-23
   6.7500000    1.0248940543e-04   -2.7598731895e-20    1.3595754968e-06    3.8464061788e-23    2.7395069093e-07   -3.1716833899e-22    6.8009816342e-08   -1.1055510816e-22    1.9759601866e-08    2.9229695306e-23
   7.0000000    1.0207880392e-04   -2.4912901030e-20    1.3539039041e-06    4.4840010849e-22    2.7277012949e-07   -1.5133392620e-22    6.7980208529e-08   -1.1522053383e-22    1.9719343843e-08    2.6954377734e-23
   7.2500000    1.0166926823e-04   -1.9587664730e-20    1.3482507757e-06    3.5899053368e-22    2.7160868129e-07   -3.0189870585e-22    6.7915106424e-08   -9.9118135769e-23    1.9571207194e-08    1.4250094800e-24
   7.5000000    1.0126098074e-04   -2.8334207990e-20    1.3426160189e-06    2.1281915862e-22    2.7050060315e-07   -2.7803832719e-22    6.7580009217e-08   -1.4066234039e-22    1.9385985909e-08    1.2088372441e-23
   7.7500000    1.0085398535e-04   -1.9769022121e-20    1.3369995221e-06    2.0076920101e-22    2.6940645473e-07   -3.5549334982e-22    6.6936317276e-08   -1.1600916932e-22    1.9266596583e-08    1.5063261726e-23
   8.0000000    1.0044818790e-04   -2.6065042952e-20    1.3314012100e-06    1.3879198100e-22    2.6822929878e-07   -2.3579185997e-22    6.6241135755e-08   -9.9534164157e-23    1.9235361775e-08   -5.9379128656e-24
   8.2500000    1.0004346920e-04   -2.2755642558e-20    1.3258211029e-06    1.0876589195e-22    2.6692766033e-07   -2.2742609017e-22    6.5818565231e-08   -1.3276028808e-22    1.9228060689e-08    1.4789079111e-23
   8.5000000    9.9639736085e-05   -2.3575363790e-20    1.3202590936e-06    3.7740691109e-22    2.6559569601e-07   -2.4586550941e-22    6.5754095045e-08   -1.7242927506e-22    1.9173699857e-08    1.2190448204e-23
   8.7500000    9.9236872943e-05   -2.1257353538e-20    1.3147150708e-06    3.9161806879e-22    2.6439559310e-07   -3.3982510087e-22    6.5849485504e-08   -1.6182743571e-22    1.9054976057e-08    2.6980089562e-23
   9.0000000    9.8834799486e-05   -1.8404917620e-20    1.3091889925e-06    3.4550071781e-22    2.6339754426e-07   -1.6577935684e-22    6.5831719419e-08   -1.3379428504e-22    1.8903560153e-08    1.1592099738e-23
