#       time             L^2_Ham             L^2_Mom
   0.0000000    1.7082286740e-01    1.5904382196e-03
   0.5000000    1.7082286740e-01    1.5904382196e-03
   1.0000000                -nan    6.3625906710e+04
   1.5000000                -nan                -nan
   2.0000000                -nan                -nan
   2.5000000                -nan                -nan
   3.0000000                -nan                -nan
   3.5000000                -nan                -nan
   4.0000000                -nan                 inf
   4.5000000                -nan                -nan
   5.0000000    2.7304407298e+03                -nan
   5.5000000                -nan                -nan
   6.0000000                -nan                -nan
   6.5000000                -nan                -nan
   7.0000000    1.6890555326e+04                -nan
   7.5000000    1.5796661260e+04                -nan
   8.0000000    8.1462908059e+03                -nan
   8.5000000    8.9698521045e+03                -nan
   9.0000000    5.9195371852e+04                -nan
   9.5000000                 inf                -nan
  10.0000000                 inf                -nan
  10.5000000    7.6083801846e+04                -nan
  11.0000000    7.1212873171e+04                -nan
  11.5000000    9.8918148774e+04                -nan
  12.0000000    9.8240771149e+04                -nan
  12.5000000    9.8090381754e+04                -nan
  13.0000000    9.5925219128e+02    8.0360841645e+04
  13.5000000    1.1442914317e+03    8.6619233945e+02
  14.0000000    3.0091577391e+03    9.0130091582e+02
  14.5000000    8.5581912737e+03    1.2481801383e+03
  15.0000000    9.7444283613e+03                -nan
  15.5000000                 inf    4.0000317873e+04
  16.0000000                 inf    2.6694411975e+03
  16.5000000                 inf    2.7781228387e+03
  17.0000000    5.2369646423e+02                 inf
  17.5000000    6.0672321623e+03    3.7128063617e+03
  18.0000000    3.6931693908e+03    2.7323170631e+03
  18.5000000    6.1521647020e+03    4.3456526274e+03
  19.0000000    5.4637248556e+06    3.2696353757e+03
  19.5000000    2.7702552347e+03    3.5903061313e+03
  20.0000000    2.5075267884e+03    3.3743196135e+03
  20.5000000    2.8881286109e+03    3.4334269330e+03
  21.0000000    2.4827835721e+03    3.4228883549e+03
  21.5000000    4.3571149041e+03    2.6008553768e+03
  22.0000000    2.6698555923e+03    2.1235632208e+03
  22.5000000    2.6712534425e+03    2.5479024470e+03
  23.0000000    2.6713038677e+03    8.1305026775e+04
  23.5000000    2.6766530375e+03    3.7721544047e+03
  24.0000000    2.5917582954e+03    3.7734619659e+03
  24.5000000    2.6778620455e+03    1.3190297639e+03
  25.0000000    2.6751135193e+03    1.4934885724e+03
  25.5000000    9.7950388280e+02    2.3077947971e+02
  26.0000000    9.7859798635e+02    2.1716744838e+02
  26.5000000    3.3337412208e+03    1.5426918160e+03
  27.0000000    3.3411139290e+03    3.0749472022e+03
  27.5000000    4.6545822865e+03    1.5824757791e+03
  28.0000000    8.0994611873e+03    1.9785366281e+03
  28.5000000                -nan                -nan
  29.0000000                -nan                -nan
  29.5000000                -nan                -nan
  30.0000000                -nan                -nan
  30.5000000                -nan                -nan
  31.0000000                -nan                -nan
  31.5000000                -nan                -nan
  32.0000000                -nan                -nan
  32.5000000                -nan                -nan
  33.0000000                -nan                -nan
  33.5000000                -nan                -nan
  34.0000000                -nan                -nan
  34.5000000                -nan                -nan
  35.0000000                -nan                -nan
  35.5000000                -nan                -nan
  36.0000000                -nan                -nan
  36.5000000                -nan                -nan
  37.0000000                -nan                -nan
  37.5000000                -nan                -nan
  38.0000000    2.0621113032e+03    1.8084036920e+03
  38.5000000    2.2252707632e+03    5.9403738569e+03
  39.0000000    3.1936370810e+03    5.3717177871e+03
  39.5000000    6.0309427298e+03    2.8612179448e+03
  40.0000000    6.0303966443e+03    3.0282546208e+03
  40.5000000    6.0286923730e+03    3.0403507954e+03
  41.0000000    3.0867374829e+03    3.8761594397e+03
  41.5000000    3.7649468783e+03    4.0333387850e+03
  42.0000000    3.7618810030e+03    4.0320669013e+03
  42.5000000    3.8257721087e+03    4.4158635372e+03
  43.0000000    3.8169978048e+03    3.8645694158e+03
  43.5000000    3.8149213535e+03    3.8639566888e+03
  44.0000000    3.8137971658e+03    3.8624577353e+03
  44.5000000    3.8115165690e+03    3.8609946146e+03
  45.0000000    4.4596885328e+02    3.7041242447e+02
  45.5000000    1.0975539334e+03    5.5933208906e+03
  46.0000000    1.7491452396e+04    5.7943402891e+02
  46.5000000    4.3296602601e+03    8.1027242224e+02
  47.0000000    3.4587383709e+03    1.4265276677e+04
