#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000    0.0000000000e+00    0.0000000000e+00    0.0000000000e+00
   0.4000000    2.1561779968e-15    2.1561780001e-15    2.1561780034e-15
   0.8000000   -4.5877302549e-13   -4.5877302548e-13   -4.5877302550e-13
   1.2000000   -1.3494746351e-10   -1.3494746351e-10   -1.3494746351e-10
   1.6000000   -3.4572151314e-11   -3.4572151314e-11   -3.4572151314e-11
   2.0000000    5.2361109983e-11    5.2361109983e-11    5.2361109983e-11
   2.4000000    3.9486959381e-11    3.9486959381e-11    3.9486959381e-11
   2.8000000    1.2633952652e-12    1.2633952651e-12    1.2633952652e-12
   3.2000000    1.0807430735e-12    1.0807430736e-12    1.0807430736e-12
   3.6000000   -2.8492257848e-12   -2.8492257847e-12   -2.8492257848e-12
   4.0000000    8.1667883438e-12    8.1667883438e-12    8.1667883437e-12
   4.4000000   -1.6881292869e-10   -1.6881292869e-10   -1.6881292869e-10
   4.8000000   -3.1593247753e-12   -3.1593247752e-12   -3.1593247752e-12
   5.2000000    1.1047229203e-09    1.1047229203e-09    1.1047229203e-09
   5.6000000    9.9223575145e-11    9.9223575145e-11    9.9223575145e-11
   6.0000000    2.4610239716e-11    2.4610239716e-11    2.4610239716e-11
   6.4000000    1.6918413687e-11    1.6918413687e-11    1.6918413687e-11
   6.8000000   -4.3342264901e-12   -4.3342264901e-12   -4.3342264902e-12
   7.2000000   -1.7975114351e-11   -1.7975114350e-11   -1.7975114351e-11
   7.6000000   -5.2556937966e-11   -5.2556937966e-11   -5.2556937966e-11
   8.0000000   -2.9548811673e-11   -2.9548811673e-11   -2.9548811673e-11
   8.4000000    3.8828562687e-11    3.8828562687e-11    3.8828562687e-11
   8.8000000    4.8191483781e-11    4.8191483781e-11    4.8191483781e-11
   9.2000000   -1.5093055099e-11   -1.5093055099e-11   -1.5093055099e-11
   9.6000000   -2.5423264187e-12   -2.5423264187e-12   -2.5423264188e-12
  10.0000000   -3.2905583555e-12   -3.2905583556e-12   -3.2905583555e-12
  10.4000000   -1.0951749339e-12   -1.0951749339e-12   -1.0951749338e-12
  10.8000000    1.4409937651e-11    1.4409937651e-11    1.4409937651e-11
  11.2000000    3.1280907492e-12    3.1280907491e-12    3.1280907502e-12
  11.6000000    8.0212637186e-13    8.0212637186e-13    8.0212637393e-13
  12.0000000    1.2613973384e-11    1.2613973384e-11    1.2613973388e-11
  12.4000000   -2.6314924206e-11   -2.6314924206e-11   -2.6314924200e-11
  12.8000000    7.5947750232e-12    7.5947750233e-12    7.5947750319e-12
  13.2000000   -1.1442578023e-12   -1.1442578024e-12   -1.1442577908e-12
