#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -5.1528993355e-24    2.6667089346e-31    0.0000000000e+00
   0.4000000   -1.5884188581e-25   -1.3906671493e-31   1.0016159093e-142
   0.8000000    1.7839119154e-23    3.8508992094e-32    8.9797647292e-94
   1.2000000    1.0599485924e-24    2.4611409017e-32    1.4173322328e-89
   1.6000000   -4.5613059837e-24    4.1349423820e-32   -8.6520412341e-87
   2.0000000    2.6128594556e-24   -1.0824443154e-31   -3.9560975496e-84
   2.4000000   -3.4874981926e-24    2.1295077107e-31    1.6322995395e-81
   2.8000000    2.7883374138e-24   -1.8566039219e-31   -1.0339307503e-79
   3.2000000   -3.2341012664e-23    1.7761553058e-31    8.3506901170e-78
   3.6000000    1.8969115319e-24    2.9031555057e-33   -9.0719252388e-77
   4.0000000    1.6001583162e-23   -1.4721944595e-31    9.2665453225e-75
   4.4000000   -1.3449280829e-23   -7.6088383634e-32   -5.7990216187e-73
   4.8000000   -2.6151063567e-23    1.9646839613e-31    8.8359024476e-71
   5.2000000    1.4475020234e-23   -7.0084585177e-33   -3.1917772849e-69
   5.6000000   -3.1949525168e-24    1.2706452477e-33    1.0676547221e-67
   6.0000000    4.8355962707e-24   -2.4931448063e-31    1.1427715055e-65
   6.4000000   -4.6009447945e-24    1.5971116299e-31   -6.4798010734e-64
   6.8000000   -7.9323092041e-24    2.2958848153e-31    3.7127866267e-62
   7.2000000    6.3128651516e-24   -5.2965692836e-31   -1.1140846058e-60
   7.6000000    6.9017565626e-24    3.4448874409e-31    4.2089649500e-59
   8.0000000    1.4659064897e-24   -7.3249020764e-34   -1.3163834782e-57
   8.4000000   -5.4993211088e-23   -1.6602480372e-32    5.7821892341e-56
   8.8000000    1.7067934802e-23    7.8131975034e-32   -1.6303602342e-54
   9.2000000    4.4562260703e-23   -3.9585255783e-31    6.0741088075e-53
   9.6000000   -1.8593137077e-23    3.1430949375e-31   -1.4177421546e-51
  10.0000000    5.0195050200e-24   -1.3207821323e-32    3.4418999041e-50
  10.4000000   -2.3129045043e-23   -1.2424507066e-31   -7.3790076494e-49
  10.8000000   -1.1548265590e-23   -2.5128257669e-31    1.1236258627e-47
  11.2000000    1.2696101561e-23   -1.2332646362e-30   -2.6447236664e-46
  11.6000000    1.5199007021e-23   -3.1005328991e-30    2.6975114208e-45
  12.0000000   -1.1062026575e-23    4.0068033120e-30   -6.9556436878e-44
  12.4000000   -1.4870832464e-23    1.5061378984e-29    4.9784338063e-43
  12.8000000   -7.5274768801e-24   -4.0809843447e-31   -1.1745723645e-41
  13.2000000    5.8739137736e-23   -1.9526942336e-29    4.7060447743e-41
  13.6000000    7.8570490143e-23   -1.5116901629e-29   -9.4217166430e-40
  14.0000000   -5.3845796883e-23   -2.7978688431e-30   -2.1732258623e-39
  14.4000000   -7.9137105421e-23   -1.0752772846e-29    1.0601349641e-38
  14.8000000    4.8766878837e-23   -7.0064677855e-31   -9.1812697256e-37
  15.2000000    6.6584801232e-23    6.1365985600e-29    6.8311476834e-36
  15.6000000    1.8689279953e-24    9.5289736335e-29   -7.2177125659e-35
  16.0000000   -7.6486119872e-23    6.0872913051e-29    3.3428166400e-34
  16.4000000   -6.3875400962e-23   -4.3071040818e-29   -1.4394576535e-33
  16.8000000    1.4469469890e-23   -2.0761406891e-28   -2.9244032797e-33
  17.2000000    4.7443555195e-23   -2.7131300696e-28    5.3009821205e-32
  17.6000000    3.3099224416e-23   -8.9957256912e-29   -4.4184579110e-31
  18.0000000    1.4381620999e-23    2.8109725920e-28    1.4453562268e-30
  18.4000000    3.9693421859e-24    4.3432384802e-28   -3.2212664380e-30
  18.8000000   -5.7730468572e-23    1.5167917886e-28   -6.6835281418e-30
  19.2000000   -7.9743591501e-23   -1.2713573014e-28   -4.3813128450e-29
  19.6000000   -1.0620580617e-22   -1.7077972287e-28    8.1058471820e-28
  20.0000000    1.8530905830e-21   -2.3630234423e-28   -4.3782423610e-27
  20.4000000   -1.1833997710e-21    3.7856814190e-29    1.7078402417e-26
  20.8000000   -1.8447619626e-20    1.1668345260e-27    3.3008924241e-26
  21.2000000    2.1188153285e-20   -2.5591619839e-27   -1.5800898233e-25
  21.6000000    5.9406058210e-20   -5.0838133538e-27    1.3787914310e-24
  22.0000000   -1.0000591267e-19   -7.9610657141e-27    4.0297762579e-25
  22.4000000   -4.1620981868e-20    7.7718060286e-27   -9.4335991699e-24
  22.8000000    1.6682213537e-19    3.8884264656e-25    5.4267030421e-23
  23.2000000   -9.4454605031e-21    9.5987458622e-26   -2.3690779716e-22
  23.6000000   -1.3650419783e-19   -3.0099368503e-24    3.9158907548e-22
  24.0000000    1.8046674640e-20   -1.2683454316e-24   -1.1881140152e-21
  24.4000000    1.6637062620e-19    9.5269950174e-24    2.3392661905e-21
  24.8000000   -5.2101106005e-20    8.4335666751e-24   -4.5796612201e-22
  25.2000000   -6.2549387339e-19    2.0042624020e-24    1.2325384444e-20
  25.6000000    4.4854945605e-20   -3.1147714108e-24    3.7530981908e-20
  26.0000000    2.5388528463e-18   -9.8416497916e-23    2.4125918252e-20
  26.4000000    1.0638214078e-19   -1.3302223980e-22    2.0262859517e-19
  26.8000000   -1.0340918326e-17    2.0653417579e-22    5.0646407369e-20
  27.2000000   -2.1531490513e-17    4.6248747223e-22    3.2171899595e-19
  27.6000000    1.4479573668e-17   -1.1199116884e-23    1.9477996135e-19
  28.0000000    1.9152216447e-16   -4.1518642675e-22    7.9834712442e-20
  28.4000000    1.4275864918e-16   -3.1684003194e-22    1.5943253643e-19
  28.8000000   -4.8249155204e-16   -3.7345780261e-22   -6.0511004105e-20
  29.2000000   -8.0092856842e-16   -1.5416443346e-22   -1.0252970966e-19
  29.6000000   -1.2552637643e-15    7.5962754859e-22    2.9765638019e-21
  30.0000000    1.1954363742e-15    3.7542067904e-22   -3.6382639230e-20
  30.4000000    1.1075607107e-14   -2.9254846625e-22    9.6405990774e-21
  30.8000000    3.9071505586e-15    4.4308501911e-22    2.3145488462e-20
  31.2000000   -2.3597693512e-14    6.2089844582e-22   -3.2546889293e-21
  31.6000000   -1.8957032533e-14   -4.2941446268e-23   -2.4418473832e-21
  32.0000000    1.2386432375e-14   -2.4235186687e-22   -7.8390892353e-21
  32.4000000    2.4504377906e-14   -8.0017005186e-22   -3.2442392051e-21
  32.8000000    3.0486989872e-14   -1.4392070028e-21    2.8914312958e-21
  33.2000000    3.3226421905e-14   -6.7718052795e-22   -2.2363311931e-21
  33.6000000   -2.3594481485e-14   -6.3311944762e-22   -1.9081954584e-21
  34.0000000   -4.5256267590e-14    2.0540579335e-22   -4.0908139386e-21
  34.4000000   -1.0296436670e-14    2.5024891555e-21   -1.1855812220e-20
  34.8000000    3.2075015570e-14    2.4665484554e-21   -6.6133126494e-21
  35.2000000    4.9946047704e-14    1.4415372861e-21    4.6321465341e-21
  35.6000000    4.8342482753e-14    1.4438658066e-21    4.5502542694e-21
  36.0000000   -3.3408123485e-15   -2.3043619273e-21    3.3297747760e-21
  36.4000000    4.5078247424e-15   -6.7642013607e-21    5.9543598904e-21
  36.8000000   -1.1360705245e-13   -8.5619819909e-22   -1.1827985858e-22
  37.2000000   -1.1165038774e-13    7.2591217597e-21   -9.8919541565e-21
  37.6000000   -7.2283090889e-14    4.0356082923e-21   -7.4393946737e-21
  38.0000000   -8.3302776243e-14   -2.7098087989e-21   -3.4379873392e-21
  38.4000000   -3.0912102228e-14   -3.0451687325e-21   -3.7702919737e-21
  38.8000000    1.5714079553e-14   -3.4424343704e-21   -6.5220014252e-21
  39.2000000    1.1228444762e-14   -4.6584095680e-21   -1.8435866144e-21
  39.6000000   -1.2779950259e-14    1.9771546808e-21    7.1549181199e-21
  40.0000000   -2.3559026678e-14    9.2475994402e-21    7.8229337475e-21
  40.4000000    1.2845016689e-16    4.7018152890e-21    3.4318092941e-21
  40.8000000   -3.0362206871e-16   -3.4595658048e-21    2.7822285274e-21
  41.2000000   -4.3852479681e-14   -3.3408053199e-21    4.3404422393e-21
  41.6000000   -4.8400790161e-14   -6.4998893002e-22    4.7754898690e-21
  42.0000000   -3.2438710407e-14   -3.9876093583e-22    1.7214084330e-21
  42.4000000   -2.8855597852e-14    4.8980019929e-22   -1.5838770547e-21
  42.8000000   -4.6861522190e-14   -6.8540623140e-22   -2.6085392847e-21
  43.2000000   -7.3267315199e-14   -4.9071391498e-21   -1.6880471404e-21
  43.6000000   -4.8302289459e-14   -3.0537091585e-21   -2.2238234807e-21
  44.0000000   -1.6348095008e-14    5.1489651389e-21   -3.7834539607e-21
  44.4000000   -2.5811667614e-14    8.4385053563e-21   -3.5480908142e-21
  44.8000000   -1.6197468032e-14    3.2693294143e-21   -1.6842192621e-21
  45.2000000   -1.1638162355e-14    2.6278991105e-22   -7.6176141400e-22
  45.6000000   -4.3988079815e-14   -3.6121054269e-22    3.2382297665e-22
  46.0000000   -3.8713887781e-14   -8.4279187918e-21   -3.3993403333e-22
  46.4000000    9.6895144809e-15   -7.8584213730e-21   -2.4390232939e-22
  46.8000000    2.7810920387e-14    3.1606639000e-21    3.4174118298e-21
  47.2000000    1.3528859000e-14    1.1140409427e-20    6.2136457377e-21
  47.6000000    3.7300425381e-15   -7.4009198534e-21    5.0302890250e-21
  48.0000000    1.4099734907e-15   -9.9371806572e-21    1.8652864313e-21
  48.4000000    1.2979210938e-15   -6.9555753443e-21   -8.4505260925e-23
  48.8000000    2.6592997029e-15   -3.3607332803e-21    6.0807297103e-22
  49.2000000    5.0799705436e-15    9.4831423943e-21   -7.1473962088e-22
  49.6000000    2.5477796500e-15    1.7918134400e-20   -4.5535709462e-21
  50.0000000   -1.4926646542e-15    2.5209414969e-20   -6.5693510168e-21
  50.4000000    3.2817930027e-15   -2.0351964265e-21   -3.7543595298e-21
  50.8000000    6.5810265950e-15    2.9819508135e-20   -1.0289295376e-22
  51.2000000    2.4585703660e-15   -3.8281073943e-20    4.1121539448e-22
  51.6000000    1.7206906586e-15   -1.8902209296e-20    9.3297131397e-23
  52.0000000    2.8378610100e-15   -3.4346411035e-20    1.5283917328e-21
  52.4000000    5.7077936290e-16   -1.9301312732e-19    2.7397045967e-21
  52.8000000    1.6396423701e-15   -5.6506589958e-20    1.4358890423e-21
  53.2000000    1.7527013785e-15   -2.9502666107e-20   -2.6423703733e-22
  53.6000000   -2.8438789996e-15   -2.6229106414e-19   -5.1675051755e-22
  54.0000000   -7.6351562362e-16    8.5979380974e-20   -2.8561308762e-23
  54.4000000    2.2467698173e-15    1.6812241644e-20   -1.3146436945e-22
  54.8000000   -1.7533615115e-15   -3.7786116132e-19    2.4572213845e-22
  55.2000000   -2.4414989649e-15    1.2736581247e-19    1.2971841865e-21
  55.6000000   -1.3022410203e-15   -4.4676954416e-19    1.5494164550e-21
  56.0000000   -2.4910234409e-15   -6.3440726170e-19    7.0578963902e-22
  56.4000000   -2.2564034290e-16    2.5955410693e-20    4.8681364693e-22
  56.8000000   -4.9602218582e-16   -1.0356981902e-18    2.9329622841e-22
  57.2000000   -4.4594682020e-15   -6.4633022900e-19    3.7413449136e-22
  57.6000000   -2.5675777430e-15    6.7678261405e-20    6.8740571716e-22
  58.0000000   -1.0132130126e-16   -1.3067796819e-18   -7.8423738089e-22
  58.4000000   -1.9109408356e-15   -6.7311137122e-19   -3.4125473858e-21
  58.8000000   -2.4170395768e-15    9.1233613986e-20   -4.3678923233e-21
  59.2000000   -2.4364774715e-15   -1.6275256909e-18   -2.3595180938e-21
  59.6000000   -2.4552634616e-15   -1.8377639497e-18   -9.1772141397e-22
  60.0000000   -7.1335246928e-16   -1.0283590265e-18   -1.0394877011e-21
  60.4000000   -9.4792640378e-16   -2.8784490501e-18   -1.0574580740e-21
  60.8000000   -2.4985650059e-15    2.0466824509e-18    3.9469438255e-22
  61.2000000   -1.6329306654e-15    6.5604476733e-18    2.6144320714e-21
  61.6000000   -7.3117526803e-16    2.3166292284e-17    3.5516624417e-21
  62.0000000   -1.0340285601e-15    2.4660115235e-17    2.3672785315e-21
  62.4000000   -1.0813756771e-15    7.8771070886e-17    6.6311288743e-22
  62.8000000   -1.6414208320e-15    2.0392958447e-16    5.3285588577e-22
  63.2000000   -1.7356331594e-15    2.1640214775e-16    6.2214853552e-22
  63.6000000   -2.8600402878e-16    9.1040582754e-16   -6.4895324439e-22
  64.0000000    2.1467749471e-17    5.4828024592e-16   -1.7480046104e-21
  64.4000000   -1.1111301257e-15    1.8118387915e-15   -1.1893279537e-21
  64.8000000   -1.3365076333e-15    6.3785477538e-16    9.8060145964e-23
  65.2000000   -1.0130757195e-15    1.3121220344e-15    5.8440865415e-22
  65.6000000   -9.5882350233e-16    1.2064442729e-15   -1.1060920155e-22
  66.0000000   -5.9076622911e-16    5.1668349041e-17    1.4041925918e-22
  66.4000000   -1.7352882158e-16    4.2111898996e-15   -3.1745481388e-22
  66.8000000   -2.6503072839e-16    7.6648889374e-15   -1.9174297359e-21
  67.2000000   -4.6692665117e-16    8.1272600245e-15   -2.3521495161e-21
  67.6000000   -6.7257326405e-16    2.3015276658e-14   -1.3569437099e-21
