#       time       r = 30.000000       r = 60.000000       r = 90.000000
   0.0000000   -1.5983610976e-20   -1.5986919699e-20   -1.5986919699e-20
   0.4000000    3.9056052302e-15    3.9056052302e-15    3.9056052302e-15
   0.8000000    3.9729511550e-13    3.9729511550e-13    3.9729511550e-13
   1.2000000   -6.3948144998e-12   -6.3948144998e-12   -6.3948144998e-12
   1.6000000    9.6657954475e-12    9.6657954475e-12    9.6657954475e-12
   2.0000000   -2.0927320465e-11   -2.0927320465e-11   -2.0927320465e-11
   2.4000000    3.1305701079e-11    3.1305701079e-11    3.1305701079e-11
   2.8000000   -1.8187822536e-12   -1.8187822536e-12   -1.8187822536e-12
   3.2000000    4.1628622268e-12    4.1628622268e-12    4.1628622268e-12
   3.6000000    1.0301675059e-12    1.0301675059e-12    1.0301675059e-12
   4.0000000   -1.5415910048e-12   -1.5415910048e-12   -1.5415910048e-12
   4.4000000    1.1226926251e-11    1.1226926251e-11    1.1226926251e-11
   4.8000000    8.8549973697e-12    8.8549973697e-12    8.8549973697e-12
   5.2000000    2.7112195239e-11    2.7112195239e-11    2.7112195239e-11
   5.6000000   -4.4169676814e-11   -4.4169676814e-11   -4.4169676814e-11
   6.0000000   -4.1349779651e-12   -4.1349779651e-12   -4.1349779651e-12
   6.4000000    4.4494999044e-14    4.4494999052e-14    4.4494999052e-14
   6.8000000   -7.8152349596e-13   -7.8152349596e-13   -7.8152349596e-13
   7.2000000   -1.6931473099e-13   -1.6931473100e-13   -1.6931473100e-13
   7.6000000   -4.3709535915e-13   -4.3709535915e-13   -4.3709535915e-13
   8.0000000   -3.3821862385e-12   -3.3821862385e-12   -3.3821862385e-12
   8.4000000    1.5996484063e-12    1.5996484063e-12    1.5996484063e-12
   8.8000000    6.7697964735e-14    6.7697964734e-14    6.7697964734e-14
   9.2000000   -1.4714891153e-12   -1.4714891153e-12   -1.4714891153e-12
   9.6000000   -1.4886207026e-13   -1.4886207026e-13   -1.4886207026e-13
  10.0000000    1.1609013663e-12    1.1609013663e-12    1.1609013663e-12
  10.4000000    1.1144551890e-12    1.1144551890e-12    1.1144551890e-12
  10.8000000    1.1839032716e-12    1.1839032715e-12    1.1839032715e-12
  11.2000000    8.2785080361e-13    8.2785080360e-13    8.2785080360e-13
  11.6000000    3.0322561342e-13    3.0322561342e-13    3.0322561342e-13
  12.0000000    3.7906436272e-13    3.7906436272e-13    3.7906436272e-13
  12.4000000    2.7825454380e-13    2.7825454379e-13    2.7825454379e-13
  12.8000000    3.7791896378e-14    3.7791896380e-14    3.7791896380e-14
  13.2000000    5.0542993438e-14    5.0542993441e-14    5.0542993441e-14
  13.6000000   -4.1167493269e-13   -4.1167493269e-13   -4.1167493269e-13
  14.0000000   -5.1888673565e-13   -5.1888673565e-13   -5.1888673565e-13
  14.4000000   -4.1390967245e-13   -4.1390967245e-13   -4.1390967245e-13
  14.8000000   -4.4604866115e-13   -4.4604866115e-13   -4.4604866115e-13
  15.2000000   -1.0337058306e-13   -1.0337058305e-13   -1.0337058305e-13
  15.6000000    1.7020960191e-13    1.7020960191e-13    1.7020960191e-13
  16.0000000   -3.7436693910e-13   -3.7436693910e-13   -3.7436693910e-13
  16.4000000    4.8922751063e-13    4.8922751064e-13    4.8922751064e-13
  16.8000000    1.4311604433e-13    1.4311604433e-13    1.4311604433e-13
  17.2000000    3.4272713040e-13    3.4272713040e-13    3.4272713040e-13
  17.6000000    8.8746737893e-15    8.8746737855e-15    8.8746737855e-15
  18.0000000    1.1808086036e-13    1.1808086036e-13    1.1808086036e-13
  18.4000000    3.5395229519e-14    3.5395229520e-14    3.5395229520e-14
  18.8000000    2.5663542814e-13    2.5663542818e-13    2.5663542818e-13
  19.2000000    1.2868670956e-13    1.2868670934e-13    1.2868670934e-13
  19.6000000    1.9765746413e-13    1.9765746402e-13    1.9765746402e-13
  20.0000000    7.8360477249e-14    7.8360481085e-14    7.8360481085e-14
