#       time         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im         integral Re         integral Im
#       r =            60.000000           60.000000          100.000000          100.000000          120.000000          120.000000          140.000000          140.000000          160.000000          160.000000          180.000000          180.000000          200.000000          200.000000          220.000000          220.000000
   0.0000000    1.1714899679e-27    1.1367095127e-16   -1.9492277947e-26   -5.7395560505e-16   -1.0740265014e-25   -1.0732036659e-15   -6.3342955116e-23   -7.9043233106e-11   -4.5200485504e-26    4.0236564785e-11    1.6003955034e-26    1.1331872734e-15    3.7993846581e-28   -5.9713479212e-16    5.5324027117e-29   -5.4863148533e-16
   0.4000000   -3.3872806171e-28    8.0816838863e-16    6.2097463413e-24   -3.1279541902e-16    3.1437185069e-25   -9.4356162871e-16   -3.1159422045e-23   -5.6095051154e-11   -1.2872014457e-24    3.9434963478e-11   -1.0758340680e-25    5.4230663667e-12    3.1278116215e-28   -4.9832378931e-16    1.1369039693e-28   -3.9154309856e-16
   0.8000000    1.6352395247e-27   -2.3110344077e-16   -6.0494005941e-24   -1.5547196632e-15   -5.7015618987e-24    3.4635665591e-16    2.5661165328e-23   -3.8698622720e-11   -2.2470120888e-24    8.2376094115e-13   -1.7926940807e-25    4.3446550235e-12    2.7387186860e-29   -3.6309722520e-16    9.8248068784e-29    8.6429269953e-17
   1.2000000    5.6209013671e-28    1.7658912995e-15    1.1706491156e-23    8.1773776188e-16    6.9777572674e-24    1.0634160384e-15    4.4248842261e-23   -6.7893745121e-11   -8.1681031519e-25   -2.8579456596e-11   -2.5886654209e-26    2.3321952043e-12   -6.6576496437e-29   -2.1653349054e-16    1.2592232914e-28    2.0818065009e-16
   1.6000000    1.2050322227e-27    3.2542340194e-15   -1.5732147878e-23    2.5336179094e-15    3.5535958673e-24   -9.8709206247e-16    2.1016440432e-23   -6.1507006123e-11    1.9373021602e-24   -3.2767918154e-11    2.5077990731e-25    3.7253014385e-13    4.5630211151e-29    1.4772101252e-16    1.7602054807e-28    8.8185651783e-17
   2.0000000   -5.3078632061e-29   -3.7852791816e-15   -2.0178990306e-23   -1.9974801253e-15   -8.4256371029e-24   -9.9304880613e-16   -1.6205936346e-23    1.5905967174e-11    3.0503097387e-24   -1.0865565463e-11    3.1615649224e-25   -9.1005709647e-13    1.7548152750e-28    7.9205430877e-16    1.1234465277e-28   -4.7915530590e-17
   2.4000000    9.6153939303e-28   -2.7214269633e-15    2.9148898200e-23    1.3621800169e-15    2.7149283212e-24    2.1038303770e-16   -3.0729591447e-23    1.0277790214e-10    1.5636876036e-24    1.4370268500e-11   -2.6059389535e-27   -1.9041183453e-12    1.1557586258e-28    1.5766766753e-15    7.7750308068e-29   -1.5115459975e-16
   2.8000000    5.4212665572e-28   -3.2926626912e-15   -9.0666747872e-24   -3.5345144055e-15    1.0467882023e-24    7.6546334170e-16   -1.6064090031e-23    1.1264363641e-10   -1.0398858491e-24    1.8500557254e-11   -3.8444987713e-25   -2.6957316286e-12    1.4856006192e-28    7.9426266135e-16   -3.6085288261e-29   -1.5608848080e-16
   3.2000000   -8.4683666653e-29    3.1822383747e-15   -1.2790064903e-23    6.7470065045e-16   -7.4121728728e-25   -1.1776163136e-15    5.8494530660e-24    4.6370852482e-11   -2.3161195167e-24    9.6060342123e-13   -4.4674153445e-25   -2.5269891589e-12    1.6904503758e-28   -2.0217942986e-15    3.9337260327e-29   -4.6035247350e-16
   3.6000000    1.6133196882e-27    4.1218562484e-16    2.4600082935e-23   -8.0633253312e-15    6.2748253816e-25    3.8389335802e-16    1.2588653977e-23   -2.1648659431e-11   -1.2467894537e-24   -1.3722514018e-11   -2.3302548218e-25   -1.1320308027e-12    1.7932932520e-28   -4.9429267441e-15   -1.3642014964e-29   -4.5305624781e-16
   4.0000000    6.2881716674e-28    1.5852116812e-15    1.1877804191e-24    1.1079094240e-14   -4.2626157133e-25    5.5485922075e-15    3.9516016765e-24   -4.0745447266e-11    6.7032881796e-25   -6.7378392750e-12    8.8213730675e-26    4.4499534338e-13    5.7718854698e-29   -3.7373153011e-15   -5.2179884653e-29   -6.2172502264e-16
   4.4000000    5.5256110667e-28   -4.3283982482e-15   -1.7313585195e-23    4.8693496857e-15   -2.5427996609e-25   -7.3749774831e-15   -5.4675748318e-24   -2.2246007101e-11    1.3482527536e-24    1.1758829966e-11    3.9704938249e-25    9.1627485901e-13   -6.9706610172e-29    4.4326999191e-15    2.9937693344e-29   -9.1526527543e-16
   4.8000000    1.6553309253e-27   -2.8345027785e-15    3.5732854782e-24    2.5736068863e-15    2.2760389435e-25   -1.1439142013e-14   -5.2814069211e-24    4.6704104110e-12    5.2560509683e-25    1.9201929219e-11    5.3427560769e-25    2.0478522139e-13   -1.4894550254e-28    1.4467765047e-14   -3.0226078327e-29   -7.2936849940e-16
