#       time             L^2_Ham             L^2_Mom
   0.0000000    9.9729029008e-03    0.0000000000e+00
   0.8000000    9.9729029008e-03    0.0000000000e+00
   1.6000000    1.5999641053e+03    2.5552537261e+03
   2.4000000    2.0657015560e+03                -nan
   3.2000000                -nan                -nan
   4.0000000                -nan                -nan
   4.8000000                -nan                -nan
   5.6000000                -nan                -nan
   6.4000000                -nan                -nan
   7.2000000                -nan                -nan
   8.0000000                -nan                -nan
   8.8000000                -nan                -nan
   9.6000000                -nan                -nan
  10.4000000                -nan                -nan
  11.2000000                -nan                -nan
  12.0000000                -nan                -nan
  12.8000000                -nan                -nan
  13.6000000                -nan                -nan
  14.4000000                -nan                -nan
  15.2000000                -nan                -nan
  16.0000000                -nan                -nan
  16.8000000                -nan                -nan
  17.6000000                -nan                -nan
  18.4000000                -nan                -nan
  19.2000000                -nan                -nan
  20.0000000                -nan                -nan
  20.8000000                -nan                -nan
  21.6000000                -nan                -nan
  22.4000000                -nan                -nan
  23.2000000                -nan                -nan
  24.0000000                -nan                -nan
  24.8000000                -nan                -nan
  25.6000000                -nan                -nan
  26.4000000                -nan                -nan
  27.2000000                -nan                -nan
  28.0000000                -nan                -nan
  28.8000000                -nan                -nan
  29.6000000                -nan                -nan
  30.4000000                -nan                -nan
  31.2000000                -nan                -nan
  32.0000000                -nan                -nan
  32.8000000                -nan                -nan
  33.6000000                -nan                -nan
  34.4000000                -nan                -nan
  35.2000000                -nan                -nan
  36.0000000                -nan                -nan
  36.8000000                -nan                -nan
  37.6000000                -nan                -nan
  38.4000000                -nan                -nan
  39.2000000                -nan                -nan
  40.0000000                -nan                -nan
  40.8000000    2.6964851112e+02    5.0605935248e+02
  41.6000000    3.7040427361e+02    5.4935811927e+02
  42.4000000    4.1163277296e+02    5.3486833897e+02
  43.2000000    4.1155816730e+02    6.1818055193e+02
  44.0000000    7.0490918801e+02    8.4080014262e+02
  44.8000000    6.0708676458e+02    8.2565516336e+02
  45.6000000    6.0679134282e+02    7.9470885541e+02
  46.4000000    6.4805668148e+02    7.4491983692e+02
  47.2000000    6.4765870404e+02    7.4486890225e+02
  48.0000000    6.4773891510e+02    7.4476631139e+02
  48.8000000    5.5909360569e+02    7.5227499357e+02
  49.6000000    5.5769332734e+02    7.4380401826e+02
  50.4000000    5.3316933604e+02    7.6957028311e+02
  51.2000000    4.9587444309e+02    7.9265243262e+02
  52.0000000    5.8998449208e+02    7.7569367792e+02
  52.8000000    5.7009129416e+02    7.8125935863e+02
  53.6000000    4.9897195376e+02    8.0724673870e+02
  54.4000000    5.4187740424e+02    8.5872346944e+02
  55.2000000    5.0028581262e+02    8.2331302742e+02
  56.0000000    5.4243779475e+02    8.1491950442e+02
  56.8000000    5.4093890336e+02    8.1491536267e+02
  57.6000000    5.7024829118e+02    7.8244688592e+02
  58.4000000    4.9138163161e+02    7.8597655072e+02
  59.2000000    4.9574695612e+02    8.4133753039e+02
  60.0000000    4.9586467831e+02    8.5286125935e+02
  60.8000000    4.9539601496e+02    8.7048054586e+02
  61.6000000    5.0874029192e+02    9.1159431418e+02
  62.4000000    4.9604961863e+02    8.5463258603e+02
  63.2000000    4.9644567730e+02    8.9572685696e+02
  64.0000000    4.9688091494e+02    8.4336017196e+02
  64.8000000    4.9635552753e+02    8.9635445712e+02
  65.6000000    4.9619931536e+02    8.7179431072e+02
  66.4000000    4.9650039007e+02    8.4244744228e+02
  67.2000000    4.9707143176e+02    8.7179424185e+02
  68.0000000    4.9732748696e+02    8.7279729884e+02
  68.8000000    4.9751383778e+02    8.7152253720e+02
  69.6000000    4.9690477601e+02    8.7137754386e+02
  70.4000000    5.3417361669e+02    8.1804969040e+02
  71.2000000    5.3443823481e+02    8.1724037468e+02
  72.0000000    5.3924623787e+02    8.3313193334e+02
  72.8000000    5.3924215136e+02    8.3344807333e+02
  73.6000000    5.3940413031e+02    8.3314789645e+02
  74.4000000    5.3941229155e+02    8.3316582092e+02
  75.2000000    4.9686906451e+02    8.7260963727e+02
  76.0000000    5.2328296655e+02    8.6346285249e+02
  76.8000000    5.2348542933e+02    8.6372836638e+02
  77.6000000    5.2337971973e+02    8.6325029831e+02
  78.4000000    4.9261745603e+02    9.0125123447e+02
  79.2000000    4.9330131452e+02    9.1252989624e+02
  80.0000000    5.2174520825e+02    8.4441218632e+02
  80.8000000    2.2363701571e+01    3.0045676446e+02
  81.6000000    1.6490971423e+02    4.8311650543e+02
  82.4000000    1.6558058035e+02    5.2492509764e+02
  83.2000000    1.6752594165e+02    4.6012891908e+02
  84.0000000    1.7076700011e+02    4.3500132132e+02
  84.8000000    1.7076700010e+02    4.3468623383e+02
  85.6000000    3.4758246884e+02    4.9862829564e+02
  86.4000000    1.7025419779e+02    5.8428838758e+02
  87.2000000    2.1041782211e+02                -nan
  88.0000000    3.0783641961e+02                -nan
  88.8000000    1.8944917309e+02    5.5936207142e+02
  89.6000000    3.9505682611e+02    6.7846964224e+02
  90.4000000    2.1587770930e+02    5.5407152306e+02
  91.2000000                -nan                -nan
  92.0000000    3.6435615243e+02    5.6138259367e+02
  92.8000000                -nan                -nan
  93.6000000    4.5583991253e+02    6.4779227790e+02
  94.4000000                -nan                -nan
